,train_accuracy
1,39.652
2,53.636
3,59.55
4,62.606
5,65.156
6,66.722
7,68.318
8,69.42
9,70.01
10,70.888
11,71.484
12,72.158
13,72.55
14,72.94
15,73.434
16,73.78
17,73.818
18,74.62
19,74.696
20,74.596
21,75.032
22,75.562
23,75.932
24,76.134
25,76.392
26,76.178
27,76.572
28,76.818
29,77.048
30,77.052
31,77.154
32,77.49
33,77.55
34,77.69
35,77.81
36,78.074
37,78.388
38,78.502
39,78.356
40,78.476
41,78.826
42,78.602
43,79.204
44,78.998
45,79.274
46,79.48
47,79.572
48,79.376
49,79.674
50,79.572
51,79.808
52,79.744
53,79.908
54,79.928
55,80.226
56,80.21
57,80.428
58,80.598
59,80.52
60,80.488
61,82.966
62,83.224
63,83.712
64,83.772
65,83.882
66,83.886
67,83.954
68,84.172
69,84.196
70,84.404
71,84.474
72,84.422
73,84.302
74,84.494
75,84.562
76,84.412
77,84.65
78,84.596
79,84.596
80,84.88
81,84.828
82,84.832
83,84.918
84,84.82
85,84.78
86,84.864
87,84.9
88,85.096
89,85.184
90,85.118
91,85.0
92,85.016
93,85.206
94,85.248
95,85.31
96,85.136
97,85.12
98,85.228
99,85.338
100,85.338
101,85.422
102,85.586
103,85.53
104,85.474
105,85.454
106,85.488
107,85.306
108,85.456
109,85.52
110,85.624
111,85.33
112,85.732
113,85.572
114,85.624
115,85.752
116,85.65
117,85.506
118,85.73
119,85.766
120,85.652
121,86.024
122,85.958
123,86.192
124,86.14
125,86.032
126,85.996
127,86.17
128,85.942
129,86.13
130,86.2
131,86.088
132,86.21
133,86.092
134,86.24
135,85.954
136,86.326
137,85.946
138,86.298
139,86.068
140,86.34
141,86.028
142,86.208
143,86.042
144,86.27
145,86.15
146,86.188
147,86.202
148,86.272
149,86.004
150,86.392
