,train_accuracy
1,22.618
2,37.196
3,43.85
4,48.516
5,51.804
6,55.012
7,57.668
8,59.688
9,61.956
10,63.572
11,64.56
12,66.084
13,67.558
14,68.004
15,69.286
16,70.4
17,71.166
18,72.156
19,72.602
20,73.118
21,73.904
22,74.26
23,75.14
24,75.278
25,75.65
26,76.24
27,76.37
28,76.626
29,77.32
30,77.532
31,78.02
32,78.122
33,78.312
34,78.936
35,78.992
36,79.416
37,79.584
38,79.838
39,80.258
40,80.176
41,80.504
42,80.976
43,80.864
44,81.092
45,81.272
46,81.3
47,81.7
48,81.844
49,82.198
50,82.038
51,82.164
52,82.606
53,82.68
54,82.734
55,82.928
56,82.972
57,83.42
58,83.216
59,83.57
60,83.566
61,85.616
62,86.028
63,86.142
64,86.032
65,86.082
66,86.316
67,86.43
68,86.524
69,86.404
70,86.692
71,86.65
72,86.59
73,86.634
74,86.826
75,86.656
76,86.774
77,86.828
78,86.896
79,86.988
80,86.804
81,86.948
82,87.01
83,87.09
84,87.086
85,86.918
86,87.332
87,87.066
88,87.168
89,87.086
90,87.394
91,87.112
92,87.118
93,87.3
94,87.466
95,87.226
96,87.312
97,87.672
98,87.674
99,87.354
100,87.472
101,87.31
102,87.396
103,87.634
104,87.424
105,87.64
106,87.778
107,87.572
108,87.64
109,87.636
110,87.728
111,87.702
112,87.846
113,87.694
114,87.61
115,87.72
116,87.914
117,87.844
118,87.984
119,87.792
120,87.888
121,88.194
122,88.138
123,88.222
124,88.222
125,88.35
126,88.214
127,88.174
128,88.018
129,88.168
130,88.416
131,88.316
132,88.174
133,88.16
134,88.22
135,88.294
136,88.014
137,88.144
138,88.278
139,88.188
140,88.39
141,88.312
142,88.184
143,88.264
144,88.204
145,88.436
146,88.248
147,88.434
148,88.29
149,88.204
150,88.406
