,train_accuracy
1,32.91
2,49.816
3,58.13
4,63.2
5,66.27
6,68.218
7,69.72
8,71.444
9,72.606
10,73.458
11,74.276
12,74.838
13,75.832
14,76.32
15,76.91
16,76.984
17,77.612
18,78.144
19,78.392
20,78.824
21,79.214
22,79.236
23,79.566
24,79.7
25,80.414
26,80.33
27,80.496
28,80.956
29,80.902
30,81.158
31,81.454
32,81.71
33,81.944
34,82.048
35,82.266
36,82.43
37,82.47
38,82.528
39,82.584
40,83.058
41,83.044
42,82.974
43,83.238
44,83.618
45,83.33
46,83.414
47,83.586
48,83.952
49,83.904
50,83.676
51,84.606
52,84.292
53,84.474
54,84.33
55,84.654
56,84.524
57,84.864
58,84.672
59,84.796
60,84.978
61,87.398
62,88.018
63,88.456
64,88.506
65,88.88
66,88.978
67,88.982
68,89.094
69,89.114
70,89.17
71,89.286
72,89.286
73,89.236
74,89.254
75,89.504
76,89.688
77,89.58
78,89.72
79,89.716
80,89.79
81,89.834
82,89.928
83,89.91
84,89.914
85,89.932
86,90.182
87,89.78
88,90.086
89,89.988
90,90.18
91,90.096
92,90.09
93,90.31
94,90.158
95,90.204
96,90.216
97,90.426
98,90.396
99,90.386
100,90.378
101,90.632
102,90.536
103,90.556
104,90.548
105,90.544
106,90.516
107,90.714
108,90.674
109,90.568
110,90.748
111,90.764
112,90.662
113,90.886
114,90.828
115,90.868
116,90.762
117,90.878
118,90.784
119,91.064
120,91.214
121,91.386
122,91.282
123,91.384
124,91.374
125,91.382
126,91.344
127,91.274
128,91.552
129,91.46
130,91.382
131,91.36
132,91.6
133,91.516
134,91.504
135,91.536
136,91.462
137,91.302
138,91.5
139,91.488
140,91.446
141,91.452
142,91.372
143,91.642
144,91.486
145,91.604
146,91.53
147,91.416
148,91.478
149,91.566
150,91.588
