,train_accuracy
1,32.844
2,48.766
3,54.778
4,58.722
5,61.292
6,63.01
7,64.198
8,65.042
9,65.0
10,65.99
11,66.808
12,67.296
13,67.474
14,67.594
15,68.078
16,67.992
17,68.58
18,68.556
19,69.162
20,69.144
21,69.078
22,69.27
23,69.646
24,69.416
25,69.2
26,69.608
27,69.386
28,69.686
29,69.708
30,70.108
31,69.736
32,69.89
33,69.796
34,69.978
35,69.442
36,69.174
37,69.286
38,69.606
39,69.646
40,69.702
41,69.072
42,69.406
43,68.998
44,69.252
45,69.0
46,69.48
47,69.168
48,68.85
49,68.682
50,69.27
51,69.13
52,68.914
53,68.162
54,68.066
55,68.05
56,66.966
57,67.512
58,67.038
59,66.946
60,66.366
61,72.386
62,75.012
63,75.828
64,76.558
65,77.018
66,77.486
67,77.652
68,77.868
69,78.07
70,78.418
71,78.664
72,78.678
73,78.962
74,79.022
75,79.24
76,79.31
77,79.386
78,79.516
79,79.8
80,79.786
81,80.122
82,80.028
83,80.024
84,80.15
85,80.368
86,80.604
87,80.582
88,80.844
89,80.638
90,80.706
91,80.808
92,80.73
93,81.208
94,80.994
95,81.296
96,81.014
97,81.308
98,81.198
99,81.518
100,81.17
101,81.354
102,81.488
103,81.55
104,81.748
105,81.85
106,81.718
107,81.86
108,81.86
109,82.12
110,81.964
111,82.312
112,82.012
113,82.174
114,82.15
115,82.392
116,82.19
117,82.468
118,82.4
119,82.554
120,82.642
121,82.934
122,83.278
123,83.152
124,83.118
125,83.12
126,83.184
127,83.288
128,83.42
129,83.268
130,83.36
131,83.328
132,83.282
133,83.254
134,83.236
135,83.554
136,83.124
137,83.668
138,83.652
139,83.402
140,83.3
141,83.454
142,83.294
143,83.382
144,83.378
145,83.6
146,83.384
147,83.392
148,83.778
149,83.49
150,83.454
