,train_accuracy
1,52.828
2,64.062
3,68.594
4,70.952
5,72.682
6,74.12
7,75.288
8,76.214
9,76.91
10,77.728
11,78.242
12,78.994
13,79.446
14,79.892
15,80.452
16,81.108
17,81.544
18,81.562
19,81.818
20,82.344
21,82.588
22,82.918
23,83.022
24,83.418
25,83.638
26,83.714
27,83.848
28,84.17
29,84.268
30,84.662
31,84.81
32,84.934
33,85.008
34,85.428
35,85.496
36,85.514
37,85.74
38,85.958
39,85.998
40,86.246
41,86.206
42,86.224
43,86.44
44,86.51
45,86.868
46,86.92
47,86.976
48,87.06
49,87.132
50,87.29
51,87.452
52,87.444
53,87.556
54,87.862
55,87.816
56,87.88
57,87.72
58,88.026
59,88.122
60,88.154
61,89.688
62,90.124
63,90.534
64,90.546
65,90.814
66,90.964
67,90.8
68,90.904
69,91.112
70,91.128
71,91.086
72,91.136
73,91.354
74,91.33
75,91.426
76,91.296
77,91.43
78,91.366
79,91.51
80,91.466
81,91.594
82,91.696
83,91.622
84,91.496
85,91.662
86,91.846
87,91.758
88,91.788
89,91.79
90,91.784
91,91.908
92,91.92
93,91.768
94,91.896
95,91.826
96,92.048
97,92.02
98,91.984
99,92.016
100,92.046
101,92.13
102,92.108
103,92.204
104,92.116
105,92.148
106,92.096
107,92.164
108,92.19
109,92.152
110,92.152
111,92.244
112,92.412
113,92.338
114,92.212
115,92.43
116,92.386
117,92.542
118,92.312
119,92.348
120,92.386
121,92.67
122,92.466
123,92.66
124,92.774
125,92.464
126,92.704
127,92.774
128,92.692
129,92.732
130,92.652
131,92.688
132,92.756
133,92.72
134,92.446
135,92.896
136,92.732
137,92.572
138,92.744
139,92.86
140,92.522
141,92.744
142,92.596
143,92.694
144,92.512
145,92.728
146,92.802
147,92.73
148,92.738
149,92.764
150,92.67
