,train_accuracy
1,45.968
2,59.11
3,63.872
4,67.222
5,69.496
6,71.158
7,72.504
8,73.814
9,74.334
10,75.204
11,75.946
12,76.772
13,77.016
14,77.916
15,78.23
16,78.992
17,79.218
18,79.506
19,80.078
20,80.302
21,80.658
22,80.832
23,81.302
24,81.34
25,81.772
26,82.094
27,82.158
28,82.628
29,82.744
30,82.72
31,83.206
32,83.198
33,83.4
34,83.658
35,83.596
36,83.778
37,84.224
38,84.1
39,84.44
40,84.54
41,84.698
42,84.806
43,84.762
44,85.082
45,85.494
46,85.452
47,85.502
48,85.498
49,85.776
50,85.944
51,86.206
52,86.108
53,86.006
54,86.476
55,86.28
56,86.5
57,86.572
58,86.482
59,86.852
60,86.548
61,88.312
62,88.676
63,88.786
64,88.956
65,89.106
66,89.298
67,89.408
68,89.18
69,89.348
70,89.354
71,89.456
72,89.394
73,89.576
74,89.448
75,89.494
76,89.68
77,89.368
78,89.67
79,89.658
80,89.654
81,89.78
82,89.816
83,89.816
84,90.008
85,89.74
86,89.94
87,89.854
88,89.868
89,89.938
90,89.984
91,89.986
92,89.93
93,90.08
94,89.952
95,90.08
96,90.034
97,89.844
98,89.906
99,89.968
100,90.014
101,90.058
102,90.276
103,90.244
104,90.428
105,90.294
106,90.078
107,90.088
108,90.32
109,90.36
110,90.438
111,90.278
112,90.316
113,90.396
114,90.408
115,90.156
116,90.122
117,90.106
118,90.296
119,90.39
120,90.348
121,90.458
122,90.576
123,90.738
124,90.636
125,90.762
126,90.81
127,90.724
128,90.534
129,90.624
130,90.808
131,90.586
132,90.72
133,90.834
134,90.672
135,90.626
136,90.628
137,90.8
138,90.646
139,90.85
140,90.728
141,90.726
142,90.898
143,90.584
144,90.636
145,90.558
146,90.83
147,90.556
148,90.764
149,90.784
150,90.728
