,train_accuracy
1,43.788
2,54.708
3,59.06
4,61.178
5,62.93
6,64.74
7,65.372
8,66.552
9,67.122
10,67.96
11,68.788
12,69.744
13,69.914
14,70.15
15,70.72
16,71.288
17,71.262
18,71.58
19,71.832
20,72.04
21,71.988
22,72.538
23,72.728
24,73.104
25,73.4
26,73.944
27,73.982
28,74.108
29,74.36
30,74.478
31,73.74
32,74.536
33,74.534
34,74.82
35,75.32
36,74.948
37,75.38
38,75.636
39,75.624
40,75.7
41,75.656
42,75.86
43,75.886
44,76.236
45,76.064
46,76.83
47,76.222
48,76.426
49,76.848
50,76.498
51,76.85
52,76.83
53,77.07
54,76.88
55,77.176
56,77.392
57,77.116
58,77.56
59,76.958
60,77.374
61,80.886
62,81.588
63,82.058
64,82.104
65,82.164
66,82.16
67,82.302
68,82.558
69,82.482
70,82.478
71,82.666
72,82.638
73,82.624
74,82.61
75,82.934
76,82.856
77,82.568
78,82.84
79,83.048
80,82.688
81,82.756
82,83.124
83,83.034
84,83.088
85,82.992
86,83.032
87,83.048
88,82.936
89,83.078
90,83.076
91,83.26
92,83.26
93,83.294
94,83.114
95,83.304
96,83.198
97,83.24
98,83.17
99,83.404
100,83.26
101,83.394
102,83.542
103,83.538
104,83.38
105,83.52
106,83.696
107,83.336
108,83.764
109,83.626
110,83.604
111,83.874
112,83.518
113,83.772
114,83.74
115,83.648
116,83.804
117,83.782
118,83.962
119,83.968
120,83.894
121,84.516
122,84.304
123,84.404
124,84.532
125,84.368
126,84.618
127,84.382
128,84.652
129,84.496
130,84.552
131,84.562
132,84.472
133,84.514
134,84.526
135,84.522
136,84.64
137,84.788
138,84.608
139,84.394
140,84.558
141,84.468
142,84.284
143,84.482
144,84.67
145,84.338
146,84.382
147,84.43
148,84.636
149,84.276
150,84.776
