,train_accuracy
1,38.81
2,48.852
3,53.392
4,56.58
5,58.624
6,60.5
7,61.82
8,62.806
9,63.924
10,64.682
11,65.456
12,66.476
13,66.068
14,66.718
15,67.358
16,67.492
17,68.126
18,68.442
19,68.428
20,68.996
21,69.672
22,69.362
23,70.126
24,69.484
25,69.63
26,70.334
27,70.292
28,71.044
29,70.9
30,69.762
31,70.714
32,71.796
33,71.358
34,71.512
35,71.676
36,72.05
37,72.054
38,72.114
39,72.458
40,73.162
41,72.87
42,72.366
43,72.706
44,72.292
45,73.056
46,73.138
47,72.948
48,73.334
49,73.494
50,73.484
51,73.16
52,72.74
53,73.706
54,73.852
55,74.152
56,73.872
57,73.87
58,74.116
59,74.288
60,74.064
61,78.52
62,79.39
63,79.572
64,79.506
65,79.91
66,79.878
67,80.226
68,79.834
69,80.156
70,79.986
71,79.868
72,80.182
73,80.46
74,80.396
75,80.538
76,80.852
77,80.416
78,80.716
79,80.486
80,80.726
81,80.84
82,80.756
83,80.594
84,80.762
85,81.012
86,80.98
87,81.248
88,81.058
89,81.03
90,80.89
91,81.126
92,81.262
93,81.14
94,81.174
95,81.13
96,81.246
97,80.93
98,81.226
99,81.532
100,81.362
101,81.238
102,81.256
103,81.6
104,81.252
105,81.336
106,81.648
107,81.622
108,81.67
109,81.376
110,81.486
111,81.602
112,81.604
113,81.626
114,81.654
115,81.842
116,81.812
117,81.772
118,81.606
119,81.632
120,82.008
121,82.154
122,82.378
123,82.298
124,82.488
125,82.414
126,82.308
127,82.506
128,82.448
129,82.46
130,82.596
131,82.506
132,82.432
133,82.418
134,82.494
135,82.69
136,82.51
137,82.67
138,82.792
139,82.504
140,82.564
141,82.7
142,82.626
143,82.542
144,82.508
145,82.564
146,82.49
147,82.864
148,82.814
149,82.744
150,82.412
