,train_accuracy
1,25.09
2,27.943333
3,27.943333
4,27.778334
5,27.963333
6,27.865
7,27.675
8,27.455
9,27.863333
10,27.606667
11,27.826666
12,27.498333
13,27.571667
14,27.901667
15,27.736666
16,27.895
17,27.97
18,27.841667
19,28.063334
20,27.846666
21,27.701666
22,27.693333
23,27.688334
24,27.685
25,27.823334
26,27.803333
27,27.758333
28,27.623333
29,27.345
30,27.82
31,27.725
32,27.736666
33,27.695
34,27.646667
35,27.546667
36,27.463333
37,27.553333
38,27.79
39,27.335
40,27.398333
41,27.67
42,27.756666
43,27.8
44,27.73
45,27.815
46,27.43
47,27.516666
48,27.313334
49,27.613333
50,27.51
51,27.696667
52,27.528334
53,27.756666
54,27.678333
55,27.251667
56,27.238333
57,27.598333
58,27.653334
59,27.703333
60,27.426666
61,27.681667
62,27.658333
63,27.78
64,27.973333
65,27.968334
66,27.888334
67,27.876667
68,28.031666
69,28.046667
70,28.066668
71,28.263334
72,28.198334
73,28.168333
74,28.016666
75,28.14
76,28.39
77,27.818333
78,27.888334
79,28.05
80,28.226667
81,28.218334
82,27.871666
83,28.131666
84,28.4
85,28.046667
86,28.006666
87,28.285
88,28.213333
89,28.238333
90,28.168333
91,28.406666
92,28.061666
93,28.185
94,28.14
95,28.196667
96,28.34
97,28.225
98,28.316668
99,28.431667
100,28.313334
