,train_accuracy
1,11.635
2,18.186666
3,27.413334
4,35.271667
5,39.86
6,42.923332
7,44.975
8,46.483334
9,47.826668
10,47.981667
11,48.113335
12,49.06
13,49.21
14,49.641666
15,50.023335
16,50.11
17,50.481667
18,50.246666
19,50.545
20,50.661667
21,51.071667
22,51.161667
23,50.84833
24,51.383335
25,51.158333
26,51.351665
27,51.1
28,51.375
29,51.236668
30,51.25
31,51.666668
32,51.701668
33,51.515
34,51.703335
35,51.956665
36,51.908333
37,51.503334
38,52.168335
39,52.075
40,51.856667
41,52.118332
42,52.003334
43,51.548332
44,52.458332
45,52.205
46,51.79
47,52.425
48,51.825
49,52.373333
50,52.505
51,52.636665
52,52.406666
53,52.31167
54,52.331665
55,52.191666
56,52.51
57,52.318333
58,52.34
59,52.52667
60,52.39
61,52.693333
62,52.573334
63,52.53
64,52.548332
65,52.616665
66,52.831665
67,52.255
68,52.19
69,52.6
70,52.713333
71,52.463333
72,52.661667
73,52.663334
74,52.826668
75,52.083332
76,52.808334
77,52.775
78,52.716667
79,52.458332
80,52.731667
81,52.676666
82,52.558334
83,52.468334
84,52.761665
85,52.71
86,52.698334
87,52.631668
88,52.59833
89,52.636665
90,52.52833
91,52.331665
92,52.335
93,52.066666
94,52.731667
95,52.986668
96,52.446667
97,52.236668
98,52.508335
99,52.71
100,52.093334
