,train_accuracy
1,18.56
2,32.218334
3,36.858334
4,38.896667
5,39.486668
6,40.416668
7,40.483334
8,41.125
9,41.506668
10,41.455
11,41.985
12,41.93
13,41.953335
14,42.033333
15,42.293335
16,42.611668
17,42.486668
18,42.343334
19,42.725
20,42.466667
21,42.443333
22,42.816666
23,42.636665
24,42.613335
25,42.715
26,42.856667
27,42.72167
28,42.896667
29,43.165
30,43.001667
31,42.895
32,42.676666
33,42.945
34,42.78
35,42.793335
36,43.075
37,42.97167
38,42.72333
39,43.516666
40,42.818333
41,42.851665
42,43.043335
43,43.135
44,43.148335
45,43.543335
46,43.296665
47,42.806667
48,43.016666
49,43.68833
50,43.193333
51,43.175
52,43.363335
53,43.131668
54,43.341667
55,43.321667
56,43.465
57,43.33
58,43.018333
59,43.388332
60,43.361668
61,43.35
62,43.415
63,43.37
64,43.47333
65,43.48
66,43.25
67,43.116665
68,43.135
69,43.391666
70,43.42
71,43.566666
72,43.443333
73,43.501667
74,43.663334
75,43.296665
76,43.608334
77,43.585
78,43.498333
79,43.433334
80,43.51
81,43.646667
82,43.58
83,43.536667
84,43.345
85,43.555
86,43.43833
87,43.61
88,43.418335
89,43.631668
90,43.458332
91,43.715
92,43.798332
93,43.495
94,43.4
95,43.356667
96,43.661667
97,43.273335
98,43.193333
99,43.581665
100,43.433334
