,train_accuracy
1,10.316667
2,12.031667
3,14.558333
4,17.386667
5,19.786667
6,22.663334
7,24.991667
8,27.705
9,29.758333
10,31.618334
11,32.858334
12,34.22167
13,35.455
14,35.90333
15,36.568333
16,37.361668
17,37.641666
18,38.1
19,38.931667
20,38.976665
21,39.411667
22,39.368332
23,39.648335
24,39.726665
25,40.445
26,40.29
27,40.463333
28,40.558334
29,40.77833
30,41.075
31,40.925
32,41.381668
33,41.331665
34,41.316666
35,41.81
36,41.693333
37,41.501667
38,41.251667
39,41.991665
40,41.785
41,41.758335
42,41.72
43,41.983334
44,42.15
45,42.05
46,42.238335
47,42.25
48,41.82
49,42.008335
50,42.02
51,42.353333
52,42.28
53,42.388332
54,42.398335
55,42.616665
56,42.66
57,42.806667
58,42.343334
59,42.72333
60,42.566666
61,42.485
62,42.655
63,42.736668
64,42.783333
65,42.615
66,42.48
67,42.79
68,42.775
69,42.691666
70,42.905
71,42.873333
72,42.656666
73,42.575
74,42.77833
75,42.65167
76,42.826668
77,42.615
78,42.33
79,42.616665
80,42.606667
81,42.536667
82,42.753334
83,42.68833
84,42.9
85,42.741665
86,42.693333
87,42.6
88,42.606667
89,42.68667
90,42.875
91,42.645
92,42.818333
93,42.808334
94,42.736668
95,42.913334
96,42.635
97,42.728333
98,42.373333
99,42.72
100,42.875
