,train_accuracy
1,41.275
2,48.613335
3,49.075
4,49.273335
5,49.566666
6,50.263332
7,50.32
8,50.455
9,50.503334
10,50.616665
11,50.69
12,50.773335
13,51.005
14,51.006668
15,50.66
16,50.908333
17,50.611668
18,51.248333
19,50.695
20,50.945
21,51.011665
22,51.52833
23,51.06
24,51.018333
25,51.2
26,51.06333
27,51.233334
28,51.25
29,51.418335
30,51.525
31,51.191666
32,51.335
33,51.616665
34,51.761665
35,51.431667
36,51.57
37,51.705
38,51.166668
39,51.783333
40,51.51
41,51.568333
42,51.4
43,51.81
44,51.168335
45,51.446667
46,51.72333
47,51.506668
48,51.603333
49,52.016666
50,52.016666
51,51.71
52,51.95
53,51.946667
54,51.6
55,51.621666
56,51.606667
57,51.66
58,51.55
59,51.72167
60,51.373333
61,52.205
62,52.511665
63,51.948334
64,52.301666
65,52.34833
66,52.321667
67,52.175
68,52.27
69,52.506668
70,52.43833
71,52.095
72,52.336666
73,51.946667
74,52.465
75,52.36
76,52.128334
77,52.316666
78,52.235
79,52.55
80,52.291668
81,52.231667
82,52.341667
83,52.165
84,52.168335
85,52.40333
86,51.948334
87,52.363335
88,52.421665
89,52.39
90,51.948334
91,52.453335
92,52.515
93,52.398335
94,52.413334
95,52.52
96,52.011665
97,52.49
98,52.213333
99,51.84667
100,52.493332
