,train_accuracy
1,30.675
2,43.261665
3,46.206665
4,46.991665
5,47.786667
6,48.421665
7,49.113335
8,49.286667
9,49.496666
10,49.816666
11,49.898335
12,50.443333
13,50.178333
14,50.413334
15,50.64
16,50.886665
17,50.753334
18,50.51
19,51.073334
20,50.923332
21,51.23
22,50.731667
23,51.106667
24,51.4
25,51.323334
26,51.821667
27,51.335
28,51.18833
29,51.831665
30,51.695
31,51.433334
32,51.22333
33,51.611668
34,51.583332
35,51.633335
36,51.788334
37,52.09833
38,51.97
39,51.881668
40,51.788334
41,51.95
42,51.925
43,52.115
44,52.015
45,52.11
46,51.715
47,52.465
48,51.996666
49,52.156666
50,52.035
51,52.1
52,52.128334
53,51.958332
54,52.136665
55,52.34
56,51.838333
57,52.353333
58,52.203335
59,51.941666
60,52.478333
61,51.926666
62,52.406666
63,52.191666
64,52.355
65,52.52667
66,52.48
67,52.551666
68,52.376667
69,52.315
70,52.141666
71,52.33
72,52.808334
73,52.46
74,52.821667
75,52.841667
76,52.65
77,52.826668
78,52.67
79,52.521667
80,52.513332
81,52.381668
82,52.705
83,52.345
84,52.621666
85,52.463333
86,52.535
87,52.923332
88,52.635
89,52.488335
90,52.68667
91,52.735
92,52.421665
93,52.9
94,52.73
95,52.546665
96,52.465
97,52.705
98,52.773335
99,52.55
100,52.8
