,train_accuracy
1,30.411667
2,42.685
3,45.433334
4,46.496666
5,48.041668
6,48.258335
7,48.823334
8,49.383335
9,49.663334
10,49.64
11,50.035
12,50.38
13,50.136665
14,50.343334
15,50.378334
16,51.123333
17,50.79
18,50.831665
19,51.131668
20,51.238335
21,51.553333
22,51.008335
23,51.256668
24,51.43
25,51.665
26,51.356667
27,51.288334
28,51.578335
29,51.385
30,51.606667
31,51.806667
32,51.256668
33,51.546665
34,52.236668
35,51.77833
36,51.803333
37,51.553333
38,51.73
39,51.72
40,51.978333
41,51.943333
42,52.211666
43,51.77
44,52.181667
45,52.02667
46,52.155
47,52.326668
48,51.736668
49,51.868332
50,51.775
51,52.27833
52,51.775
53,52.053333
54,52.076668
55,52.185
56,52.27
57,52.383335
58,52.368332
59,52.376667
60,52.14
61,52.376667
62,52.56333
63,52.68
64,52.421665
65,52.568333
66,52.46
67,52.65
68,52.638332
69,52.616665
70,52.758335
71,52.53
72,52.345
73,52.75
74,52.806667
75,52.786667
76,52.501667
77,52.296665
78,52.04
79,52.658333
80,52.77
81,52.615
82,52.42
83,52.606667
84,52.72167
85,52.875
86,52.531666
87,52.87
88,52.62
89,52.371666
90,53.053333
91,53.005
92,52.53
93,53.041668
94,52.73
95,52.843334
96,52.838333
97,52.618332
98,52.681667
99,52.918335
100,52.795
