,train_accuracy
1,37.005
2,46.808334
3,48.236668
4,48.833332
5,49.555
6,49.97
7,50.245
8,50.533333
9,50.448334
10,50.838333
11,50.953335
12,51.073334
13,51.101665
14,51.023335
15,50.856667
16,51.146667
17,50.878334
18,51.198334
19,51.556667
20,51.415
21,51.141666
22,51.56
23,51.46
24,51.93667
25,51.43833
26,51.888332
27,51.646667
28,51.858334
29,51.788334
30,51.61
31,51.59
32,51.456665
33,52.256668
34,51.736668
35,52.171665
36,51.805
37,52.005
38,51.825
39,52.075
40,51.913334
41,52.121666
42,51.685
43,52.133335
44,52.42
45,51.84667
46,52.075
47,52.415
48,51.918335
49,52.073334
50,51.843334
51,52.16
52,52.333332
53,52.468334
54,52.193333
55,52.001667
56,52.256668
57,52.301666
58,52.443333
59,51.926666
60,52.393333
61,52.258335
62,52.701668
63,52.706665
64,52.52667
65,52.441666
66,52.39
67,52.76
68,52.88
69,52.713333
70,52.808334
71,52.443333
72,52.636665
73,52.43
74,52.406666
75,52.856667
76,52.616665
77,52.818333
78,52.546665
79,52.668335
80,52.478333
81,52.573334
82,52.565
83,53.003334
84,52.27
85,52.22
86,53.036667
87,52.59
88,52.501667
89,52.583332
90,52.581665
91,52.806667
92,52.825
93,52.68667
94,52.543335
95,52.48
96,52.85
97,52.90333
98,52.873333
99,52.863335
100,52.743332
