,train_accuracy
1,22.05
2,36.021667
3,41.55
4,44.18
5,45.415
6,46.086666
7,46.91
8,47.281666
9,48.088333
10,48.47
11,48.573334
12,48.821667
13,49.245
14,49.555
15,49.353333
16,49.65167
17,49.975
18,49.52
19,50.055
20,49.92
21,50.565
22,50.40333
23,50.3
24,50.503334
25,50.326668
26,50.711666
27,50.671665
28,50.578335
29,50.968334
30,50.706665
31,50.99
32,51.106667
33,50.856667
34,51.041668
35,50.705
36,51.108334
37,51.25
38,51.363335
39,51.328335
40,51.306667
41,50.993332
42,51.433334
43,51.863335
44,51.266666
45,51.608334
46,51.235
47,51.056667
48,51.461666
49,51.18
50,51.273335
51,51.52
52,51.866665
53,51.53
54,51.72333
55,51.758335
56,51.671665
57,51.631668
58,51.536667
59,51.545
60,51.67
61,51.795
62,51.845
63,52.058334
64,52.04
65,52.093334
66,52.135
67,52.296665
68,52.113335
69,52.18833
70,52.398335
71,51.985
72,52.016666
73,51.748333
74,52.09833
75,52.05
76,51.89
77,52.368332
78,52.025
79,52.085
80,52.128334
81,51.89
82,52.02
83,52.445
84,52.316666
85,52.156666
86,52.001667
87,52.113335
88,52.72333
89,52.045
90,52.168335
91,51.825
92,51.945
93,52.475
94,51.941666
95,52.081665
96,52.305
97,52.383335
98,52.35
99,52.295
100,51.761665
