,train_accuracy
1,49.302
2,65.522
3,71.658
4,75.678
5,78.142
6,79.97
7,81.668
8,82.606
9,83.442
10,84.744
11,85.346
12,86.078
13,86.68
14,87.35
15,87.55
16,88.132
17,88.628
18,88.908
19,89.578
20,89.736
21,90.168
22,90.616
23,90.684
24,91.148
25,91.3
26,91.62
27,91.664
28,92.154
29,92.154
30,92.432
31,92.63
32,92.984
33,93.184
34,93.45
35,93.452
36,93.888
37,93.768
38,94.05
39,94.15
40,94.31
41,94.444
42,94.484
43,94.528
44,95.066
45,94.972
46,94.922
47,95.176
48,95.238
49,95.132
50,95.412
51,95.578
52,95.732
53,95.588
54,95.846
55,95.77
56,96.072
57,96.044
58,96.248
59,96.172
60,96.196
61,96.332
62,96.282
63,96.338
64,96.488
65,96.668
66,96.572
67,96.73
68,96.722
69,96.754
70,96.708
71,96.832
72,96.814
73,96.992
74,97.162
75,97.036
76,97.072
77,97.146
78,97.198
79,97.282
80,97.274
81,97.328
82,97.294
83,97.338
84,97.524
85,97.464
86,97.418
87,97.584
88,97.458
89,97.65
90,97.7
91,97.71
92,97.566
93,97.678
94,97.79
95,97.864
96,97.822
97,97.788
98,97.856
99,97.784
100,97.978
101,97.862
102,97.89
103,97.948
104,98.038
105,98.058
106,97.952
107,98.02
108,98.03
109,98.052
110,98.232
111,98.112
112,98.082
113,98.278
114,98.08
115,98.234
116,98.302
117,98.156
118,98.276
119,98.282
120,98.232
121,98.21
122,98.332
123,98.33
124,98.338
125,98.38
126,98.486
127,98.386
128,98.304
129,98.352
130,98.442
131,98.402
132,98.442
133,98.586
134,98.512
135,98.526
136,98.522
137,98.564
138,98.464
139,98.536
140,98.484
141,98.578
142,98.774
143,98.412
144,98.564
145,98.59
146,98.532
147,98.688
148,98.608
149,98.61
150,98.746
151,99.27
152,99.548
153,99.65
154,99.642
155,99.636
156,99.704
157,99.762
158,99.758
159,99.742
160,99.798
161,99.81
162,99.794
163,99.822
164,99.774
165,99.794
166,99.844
167,99.822
168,99.818
169,99.842
170,99.82
171,99.816
172,99.824
173,99.862
174,99.834
175,99.848
176,99.844
177,99.816
178,99.896
179,99.84
180,99.872
181,99.864
182,99.876
183,99.894
184,99.868
185,99.872
186,99.876
187,99.86
188,99.856
189,99.864
190,99.86
191,99.87
192,99.922
193,99.878
194,99.914
195,99.904
196,99.88
197,99.882
198,99.896
199,99.892
200,99.888
201,99.886
202,99.882
203,99.906
204,99.912
205,99.89
206,99.914
207,99.872
208,99.906
209,99.906
210,99.892
211,99.9
212,99.904
213,99.912
214,99.918
215,99.888
216,99.904
217,99.876
218,99.906
219,99.908
220,99.936
221,99.886
222,99.896
223,99.908
224,99.938
225,99.934
226,99.934
227,99.936
228,99.908
229,99.934
230,99.944
231,99.948
232,99.952
233,99.94
234,99.932
235,99.938
236,99.948
237,99.928
238,99.946
239,99.934
240,99.942
241,99.938
242,99.952
243,99.95
244,99.932
245,99.942
246,99.934
247,99.936
248,99.956
249,99.93
250,99.946
251,99.93
252,99.926
253,99.962
254,99.966
255,99.958
256,99.946
257,99.956
258,99.956
259,99.944
260,99.95
261,99.958
262,99.958
263,99.948
264,99.926
265,99.956
266,99.958
267,99.958
268,99.948
269,99.956
270,99.97
271,99.964
272,99.952
273,99.948
274,99.942
275,99.96
276,99.958
277,99.956
278,99.952
279,99.94
280,99.95
281,99.95
282,99.958
283,99.96
284,99.966
285,99.96
286,99.944
287,99.956
288,99.96
289,99.966
290,99.956
291,99.962
292,99.952
293,99.958
294,99.958
295,99.952
296,99.968
297,99.96
298,99.966
299,99.96
300,99.958
