,train_accuracy
1,35.512
2,56.986
3,67.478
4,73.148
5,76.676
6,79.194
7,80.818
8,82.258
9,83.572
10,84.636
11,85.24
12,86.404
13,86.942
14,87.498
15,88.2
16,88.604
17,89.084
18,89.572
19,89.854
20,90.312
21,90.54
22,91.082
23,91.298
24,91.676
25,92.096
26,92.146
27,92.476
28,92.724
29,92.912
30,93.052
31,93.43
32,93.488
33,93.666
34,94.142
35,94.194
36,94.286
37,94.614
38,94.558
39,94.7
40,95.092
41,95.16
42,95.238
43,95.338
44,95.328
45,95.582
46,95.856
47,95.952
48,95.746
49,96.052
50,96.0
51,96.082
52,96.384
53,96.396
54,96.496
55,96.67
56,96.648
57,96.75
58,96.98
59,97.028
60,96.826
61,97.032
62,97.236
63,97.23
64,97.37
65,97.15
66,97.508
67,97.424
68,97.466
69,97.488
70,97.68
71,97.57
72,97.508
73,97.656
74,97.608
75,97.802
76,97.972
77,97.902
78,97.898
79,97.918
80,98.026
81,98.064
82,98.048
83,97.914
84,98.246
85,98.23
86,98.24
87,98.19
88,98.426
89,98.474
90,98.286
91,98.46
92,98.418
93,98.428
94,98.276
95,98.236
96,98.418
97,98.342
98,98.57
99,98.538
100,98.548
101,98.626
102,98.594
103,98.704
104,98.812
105,98.734
106,98.628
107,98.698
108,98.614
109,98.682
110,98.736
111,98.914
112,98.66
113,98.878
114,98.85
115,98.92
116,98.736
117,98.8
118,98.852
119,98.862
120,98.93
121,98.972
122,98.954
123,98.976
124,98.984
125,99.072
126,99.096
127,98.78
128,99.034
129,99.028
130,99.086
131,99.084
132,99.062
133,99.114
134,99.162
135,99.084
136,99.098
137,99.092
138,99.188
139,99.012
140,99.19
141,99.13
142,99.098
143,99.14
144,99.172
145,99.204
146,99.022
147,99.178
148,99.086
149,99.126
150,99.264
151,99.506
152,99.67
153,99.732
154,99.812
155,99.796
156,99.784
157,99.802
158,99.824
159,99.834
160,99.824
161,99.83
162,99.846
163,99.852
164,99.892
165,99.868
166,99.894
167,99.868
168,99.846
169,99.888
170,99.9
171,99.9
172,99.896
173,99.914
174,99.872
175,99.902
176,99.878
177,99.912
178,99.914
179,99.906
180,99.908
181,99.922
182,99.904
183,99.93
184,99.93
185,99.928
186,99.91
187,99.924
188,99.916
189,99.926
190,99.914
191,99.932
192,99.902
193,99.922
194,99.92
195,99.936
196,99.928
197,99.926
198,99.928
199,99.912
200,99.944
201,99.934
202,99.922
203,99.926
204,99.948
205,99.926
206,99.928
207,99.942
208,99.952
209,99.932
210,99.95
211,99.932
212,99.958
213,99.918
214,99.926
215,99.928
216,99.934
217,99.954
218,99.932
219,99.94
220,99.932
221,99.938
222,99.95
223,99.942
224,99.952
225,99.948
226,99.95
227,99.928
228,99.944
229,99.942
230,99.946
231,99.932
232,99.954
233,99.944
234,99.938
235,99.942
236,99.93
237,99.964
238,99.94
239,99.956
240,99.95
241,99.954
242,99.938
243,99.966
244,99.942
245,99.962
246,99.952
247,99.95
248,99.954
249,99.956
250,99.942
251,99.96
252,99.94
253,99.968
254,99.924
255,99.956
256,99.936
257,99.932
258,99.954
259,99.946
260,99.958
261,99.948
262,99.946
263,99.942
264,99.952
265,99.952
266,99.95
267,99.95
268,99.94
269,99.958
270,99.94
271,99.928
272,99.962
273,99.962
274,99.952
275,99.968
276,99.954
277,99.942
278,99.944
279,99.946
280,99.96
281,99.968
282,99.958
283,99.944
284,99.952
285,99.95
286,99.956
287,99.948
288,99.95
289,99.944
290,99.956
291,99.946
292,99.948
293,99.954
294,99.968
295,99.97
296,99.948
297,99.948
298,99.952
299,99.938
300,99.942
