,train_accuracy
1,35.736
2,57.78
3,67.512
4,73.478
5,77.362
6,79.576
7,81.55
8,82.884
9,84.0
10,85.11
11,85.904
12,86.592
13,87.328
14,88.09
15,88.488
16,89.134
17,89.558
18,90.002
19,90.142
20,90.63
21,91.01
22,91.404
23,91.57
24,91.858
25,92.23
26,92.644
27,92.85
28,93.01
29,93.2
30,93.514
31,93.792
32,93.852
33,93.99
34,94.14
35,94.374
36,94.536
37,94.936
38,94.918
39,94.94
40,95.226
41,95.216
42,95.456
43,95.492
44,95.762
45,95.91
46,95.862
47,96.012
48,95.988
49,96.196
50,96.296
51,96.468
52,96.506
53,96.638
54,96.674
55,96.672
56,96.99
57,96.792
58,96.962
59,97.002
60,97.02
61,97.072
62,97.322
63,97.214
64,97.304
65,97.524
66,97.412
67,97.528
68,97.478
69,97.638
70,97.668
71,97.394
72,97.806
73,97.716
74,97.94
75,97.77
76,98.178
77,98.0
78,97.96
79,98.074
80,98.096
81,98.136
82,98.148
83,98.158
84,98.084
85,98.216
86,98.28
87,98.344
88,98.442
89,98.428
90,98.402
91,98.444
92,98.446
93,98.542
94,98.604
95,98.49
96,98.378
97,98.636
98,98.676
99,98.63
100,98.774
101,98.726
102,98.722
103,98.65
104,98.748
105,98.594
106,98.836
107,98.818
108,98.704
109,98.822
110,98.856
111,98.78
112,98.824
113,98.874
114,98.902
115,98.984
116,98.922
117,98.904
118,98.886
119,98.886
120,98.892
121,98.994
122,99.118
123,99.006
124,99.064
125,99.07
126,98.996
127,99.166
128,99.09
129,99.1
130,98.932
131,99.014
132,99.164
133,99.126
134,99.06
135,99.184
136,99.144
137,99.022
138,99.3
139,99.168
140,99.246
141,99.18
142,99.172
143,99.352
144,99.21
145,99.304
146,99.066
147,99.182
148,99.264
149,99.224
150,99.238
151,99.618
152,99.702
153,99.772
154,99.83
155,99.794
156,99.842
157,99.84
158,99.822
159,99.832
160,99.858
161,99.866
162,99.854
163,99.882
164,99.892
165,99.866
166,99.904
167,99.896
168,99.918
169,99.894
170,99.908
171,99.898
172,99.9
173,99.932
174,99.934
175,99.914
176,99.922
177,99.922
178,99.898
179,99.95
180,99.928
181,99.92
182,99.914
183,99.912
184,99.938
185,99.94
186,99.934
187,99.924
188,99.95
189,99.946
190,99.926
191,99.952
192,99.934
193,99.938
194,99.936
195,99.956
196,99.952
197,99.92
198,99.932
199,99.954
200,99.942
201,99.944
202,99.96
203,99.938
204,99.942
205,99.938
206,99.946
207,99.962
208,99.966
209,99.956
210,99.962
211,99.954
212,99.942
213,99.954
214,99.95
215,99.952
216,99.962
217,99.95
218,99.936
219,99.956
220,99.956
221,99.96
222,99.938
223,99.96
224,99.968
225,99.942
226,99.968
227,99.954
228,99.958
229,99.942
230,99.956
231,99.952
232,99.966
233,99.944
234,99.968
235,99.968
236,99.948
237,99.972
238,99.974
239,99.954
240,99.962
241,99.958
242,99.964
243,99.962
244,99.96
245,99.966
246,99.968
247,99.978
248,99.966
249,99.948
250,99.968
251,99.944
252,99.956
253,99.964
254,99.962
255,99.958
256,99.934
257,99.974
258,99.958
259,99.958
260,99.97
261,99.972
262,99.944
263,99.962
264,99.964
265,99.97
266,99.956
267,99.97
268,99.966
269,99.96
270,99.962
271,99.968
272,99.946
273,99.962
274,99.976
275,99.962
276,99.964
277,99.968
278,99.982
279,99.964
280,99.968
281,99.97
282,99.958
283,99.968
284,99.954
285,99.966
286,99.966
287,99.962
288,99.966
289,99.954
290,99.972
291,99.962
292,99.96
293,99.964
294,99.964
295,99.964
296,99.966
297,99.968
298,99.956
299,99.964
300,99.948
