,train_accuracy
1,40.704
2,60.08
3,68.936
4,73.53
5,76.83
6,78.8
7,80.61
8,81.9
9,83.02
10,83.904
11,84.882
12,85.702
13,86.322
14,86.816
15,87.506
16,87.956
17,88.662
18,88.844
19,89.152
20,89.574
21,89.904
22,90.546
23,90.726
24,90.9
25,91.336
26,91.628
27,91.814
28,92.014
29,92.328
30,92.46
31,92.618
32,92.98
33,93.2
34,93.328
35,93.538
36,93.616
37,93.884
38,94.22
39,94.208
40,94.278
41,94.512
42,94.728
43,94.77
44,94.924
45,95.06
46,95.094
47,95.146
48,95.582
49,95.526
50,95.612
51,95.744
52,95.87
53,95.798
54,96.078
55,96.068
56,96.178
57,96.254
58,96.47
59,96.218
60,96.546
61,96.482
62,96.538
63,96.816
64,97.014
65,96.916
66,96.938
67,97.02
68,96.996
69,97.016
70,97.174
71,97.246
72,97.27
73,97.526
74,97.278
75,97.428
76,97.508
77,97.268
78,97.536
79,97.57
80,97.686
81,97.948
82,97.624
83,97.94
84,97.85
85,97.914
86,97.986
87,98.026
88,98.108
89,98.09
90,97.986
91,98.042
92,98.164
93,98.126
94,98.052
95,98.15
96,98.334
97,98.32
98,98.188
99,98.37
100,98.442
101,98.218
102,98.354
103,98.424
104,98.442
105,98.286
106,98.436
107,98.424
108,98.614
109,98.516
110,98.428
111,98.526
112,98.522
113,98.68
114,98.576
115,98.626
116,98.652
117,98.742
118,98.714
119,98.738
120,98.686
121,98.798
122,98.76
123,98.752
124,98.816
125,98.81
126,98.756
127,98.8
128,98.912
129,99.012
130,98.75
131,98.906
132,98.934
133,99.106
134,98.99
135,98.892
136,98.898
137,99.038
138,99.002
139,98.996
140,98.944
141,98.986
142,99.054
143,98.988
144,99.032
145,99.14
146,99.068
147,99.22
148,98.998
149,99.23
150,99.094
151,99.436
152,99.644
153,99.714
154,99.714
155,99.762
156,99.742
157,99.8
158,99.8
159,99.814
160,99.802
161,99.806
162,99.802
163,99.838
164,99.846
165,99.822
166,99.848
167,99.868
168,99.844
169,99.844
170,99.856
171,99.872
172,99.83
173,99.872
174,99.86
175,99.84
176,99.85
177,99.872
178,99.886
179,99.892
180,99.89
181,99.874
182,99.862
183,99.87
184,99.886
185,99.89
186,99.92
187,99.872
188,99.906
189,99.898
190,99.898
191,99.91
192,99.882
193,99.884
194,99.904
195,99.882
196,99.908
197,99.882
198,99.894
199,99.876
200,99.928
201,99.93
202,99.906
203,99.896
204,99.926
205,99.92
206,99.938
207,99.904
208,99.922
209,99.916
210,99.94
211,99.918
212,99.888
213,99.924
214,99.93
215,99.908
216,99.926
217,99.898
218,99.932
219,99.928
220,99.932
221,99.924
222,99.934
223,99.902
224,99.922
225,99.916
226,99.924
227,99.908
228,99.936
229,99.922
230,99.926
231,99.948
232,99.89
233,99.934
234,99.932
235,99.946
236,99.942
237,99.942
238,99.914
239,99.942
240,99.918
241,99.958
242,99.934
243,99.912
244,99.958
245,99.912
246,99.918
247,99.93
248,99.944
249,99.942
250,99.922
251,99.944
252,99.92
253,99.936
254,99.932
255,99.928
256,99.922
257,99.946
258,99.944
259,99.946
260,99.924
261,99.932
262,99.932
263,99.928
264,99.938
265,99.942
266,99.92
267,99.95
268,99.964
269,99.944
270,99.93
271,99.932
272,99.932
273,99.928
274,99.956
275,99.92
276,99.902
277,99.92
278,99.95
279,99.938
280,99.924
281,99.936
282,99.944
283,99.936
284,99.932
285,99.94
286,99.916
287,99.91
288,99.918
289,99.942
290,99.934
291,99.93
292,99.94
293,99.922
294,99.92
295,99.92
296,99.952
297,99.93
298,99.948
299,99.946
300,99.93
