,train_loss
1,1.6357796
2,1.296542
3,1.1543729
4,1.074736
5,1.0066929
6,0.96419
7,0.9253605
8,0.89557934
9,0.8743296
10,0.8500998
11,0.8365562
12,0.82295555
13,0.80684346
14,0.7893967
15,0.77683973
16,0.7658047
17,0.7663596
18,0.74747604
19,0.7461071
20,0.7387756
21,0.7327956
22,0.7225019
23,0.71113974
24,0.70596176
25,0.69520825
26,0.692273
27,0.6881664
28,0.6831071
29,0.6778089
30,0.6682932
31,0.666693
32,0.66076416
33,0.6601464
34,0.6544536
35,0.6553803
36,0.6450983
37,0.6416976
38,0.6357995
39,0.6330036
40,0.62827504
41,0.6246983
42,0.6260835
43,0.618286
44,0.61749274
45,0.61272866
46,0.6094733
47,0.6033266
48,0.6067979
49,0.60010856
50,0.60100657
51,0.5930777
52,0.59801483
53,0.5911077
54,0.59007883
55,0.5862804
56,0.5835701
57,0.58107483
58,0.57483613
59,0.5761652
60,0.5729896
61,0.5037599
62,0.49223864
63,0.47850078
64,0.46936142
65,0.47026706
66,0.4663309
67,0.4703497
68,0.46113402
69,0.4617263
70,0.45936564
71,0.45712215
72,0.45789674
73,0.4556277
74,0.45485052
75,0.456858
76,0.45015025
77,0.45048246
78,0.44692653
79,0.44660816
80,0.445529
81,0.44045028
82,0.44298992
83,0.4404407
84,0.4415053
85,0.43754143
86,0.4420127
87,0.44078532
88,0.43600452
89,0.43206987
90,0.43418708
91,0.43375403
92,0.4376389
93,0.4322519
94,0.42990115
95,0.42935118
96,0.4313754
97,0.42925295
98,0.4282226
99,0.42473856
100,0.42582488
101,0.42464074
102,0.42382073
103,0.42112163
104,0.42433238
105,0.4196382
106,0.4205969
107,0.42147723
108,0.42189375
109,0.42463413
110,0.4205753
111,0.4200097
112,0.4145466
113,0.42397413
114,0.41751933
115,0.41644967
116,0.4157012
117,0.41902354
118,0.41813153
119,0.4165612
120,0.41720164
121,0.408092
122,0.40687984
123,0.40441796
124,0.40179116
125,0.4043041
126,0.40161857
127,0.40397713
128,0.40428963
129,0.4054528
130,0.40064442
131,0.40280628
132,0.39908227
133,0.40329543
134,0.39826792
135,0.4018204
136,0.4005618
137,0.40389788
138,0.39834827
139,0.40205282
140,0.3968735
141,0.40246964
142,0.4026071
143,0.40238371
144,0.39788565
145,0.40073854
146,0.39729974
147,0.39898422
148,0.39769208
149,0.40308923
150,0.3986463
