,train_loss
1,2.064032
2,1.6961122
3,1.5365498
4,1.4242244
5,1.3343081
6,1.2565193
7,1.1924485
8,1.1404114
9,1.0855359
10,1.0446453
11,1.007694
12,0.9733698
13,0.93577117
14,0.91463137
15,0.8840209
16,0.8608386
17,0.8378239
18,0.8137705
19,0.79502624
20,0.78186536
21,0.7590681
22,0.7487329
23,0.7308743
24,0.7181397
25,0.7086196
26,0.6948413
27,0.68720603
28,0.67643934
29,0.666561
30,0.6550611
31,0.6457894
32,0.6373562
33,0.63099694
34,0.6133881
35,0.6114451
36,0.59844136
37,0.59475213
38,0.59028655
39,0.5761273
40,0.5759448
41,0.56704503
42,0.560015
43,0.55608636
44,0.55242646
45,0.5471017
46,0.53830177
47,0.5334118
48,0.52878803
49,0.51924175
50,0.51914424
51,0.51662636
52,0.5101524
53,0.5020347
54,0.501704
55,0.49572375
56,0.49323007
57,0.48573002
58,0.48352543
59,0.47666895
60,0.47405064
61,0.4174056
62,0.40582117
63,0.39955023
64,0.40435252
65,0.4007518
66,0.39697343
67,0.3945509
68,0.38932142
69,0.39425924
70,0.38801888
71,0.3878298
72,0.38509586
73,0.38417125
74,0.38292783
75,0.38333684
76,0.38267788
77,0.37926975
78,0.38275495
79,0.37649897
80,0.3816458
81,0.37838194
82,0.3761713
83,0.3747515
84,0.37279895
85,0.37611595
86,0.36980003
87,0.37314203
88,0.3674806
89,0.37056583
90,0.36844546
91,0.37147194
92,0.3693062
93,0.371131
94,0.3675213
95,0.3665002
96,0.36508504
97,0.36085922
98,0.35955125
99,0.36226878
100,0.36101353
101,0.3623308
102,0.36012942
103,0.35640642
104,0.35902092
105,0.35821322
106,0.3536262
107,0.35567164
108,0.35907492
109,0.356256
110,0.3551622
111,0.35405743
112,0.35062912
113,0.3553452
114,0.35495117
115,0.34984156
116,0.35098606
117,0.35130474
118,0.3457564
119,0.35027635
120,0.3523547
121,0.3417748
122,0.34380835
123,0.34116834
124,0.34270707
125,0.33788776
126,0.33993846
127,0.3432611
128,0.34160295
129,0.33952576
130,0.33902562
131,0.33998474
132,0.34234127
133,0.342514
134,0.33937952
135,0.33896488
136,0.3414679
137,0.34099624
138,0.3377237
139,0.3421487
140,0.33726883
141,0.33911747
142,0.34071442
143,0.3420553
144,0.3397378
145,0.33356175
146,0.33958754
147,0.33780816
148,0.34037983
149,0.3408954
150,0.3343674
