,train_loss
1,1.796019
2,1.3796035
3,1.1827193
4,1.0608225
5,0.9745422
6,0.9193845
7,0.87412506
8,0.83242965
9,0.8021437
10,0.77459127
11,0.75673693
12,0.7340287
13,0.7155358
14,0.7018942
15,0.682856
16,0.6708
17,0.6514298
18,0.6427369
19,0.6325084
20,0.6204168
21,0.61326164
22,0.606984
23,0.59826064
24,0.5897883
25,0.57801586
26,0.57766277
27,0.5717872
28,0.56211275
29,0.55816436
30,0.5526328
31,0.5465121
32,0.54003227
33,0.5323814
34,0.524933
35,0.5229781
36,0.5204173
37,0.51457155
38,0.5146493
39,0.5124545
40,0.49832976
41,0.49309906
42,0.49761346
43,0.4901008
44,0.48261887
45,0.4858773
46,0.48519376
47,0.48295107
48,0.47346747
49,0.47157344
50,0.471022
51,0.45982608
52,0.45861998
53,0.457648
54,0.45845672
55,0.45161617
56,0.4538147
57,0.44624898
58,0.45101178
59,0.44839826
60,0.44599593
61,0.3718883
62,0.35144398
63,0.3418121
64,0.33687347
65,0.32614946
66,0.3202094
67,0.3216981
68,0.31875932
69,0.31733108
70,0.3166296
71,0.3138375
72,0.3104713
73,0.3110677
74,0.3086365
75,0.30623358
76,0.30034256
77,0.30137467
78,0.29758093
79,0.29547387
80,0.2928794
81,0.2946776
82,0.29540396
83,0.29313755
84,0.29436284
85,0.2938606
86,0.2878533
87,0.28988644
88,0.29035193
89,0.29054138
90,0.28650215
91,0.2864314
92,0.28281796
93,0.2845517
94,0.28358072
95,0.28342503
96,0.28163162
97,0.27524763
98,0.28246868
99,0.27756754
100,0.2812993
101,0.27328715
102,0.2759335
103,0.27057225
104,0.27458796
105,0.2763586
106,0.275685
107,0.26682028
108,0.26720506
109,0.27182806
110,0.26790926
111,0.26914048
112,0.26888934
113,0.26468673
114,0.2641452
115,0.26093197
116,0.26720333
117,0.2632537
118,0.266178
119,0.26122597
120,0.25881925
121,0.2524657
122,0.25269818
123,0.24883734
124,0.25008145
125,0.24936204
126,0.24869557
127,0.251968
128,0.2446624
129,0.2477988
130,0.2503512
131,0.25085616
132,0.24562016
133,0.24800493
134,0.24663049
135,0.24719328
136,0.24604928
137,0.24947745
138,0.2434137
139,0.24850523
140,0.24886963
141,0.24657045
142,0.25031254
143,0.24488585
144,0.24377216
145,0.24288225
146,0.24548967
147,0.24842891
148,0.24560952
149,0.24515341
150,0.24513194
