,train_loss
1,1.8203896
2,1.4422919
3,1.3023354
4,1.2063795
5,1.1455028
6,1.1065664
7,1.0782349
8,1.0527798
9,1.0414137
10,1.0306566
11,1.0147322
12,1.0037321
13,1.0015106
14,0.99651676
15,0.9854097
16,0.9897633
17,0.9788803
18,0.9746457
19,0.968107
20,0.9661324
21,0.97336084
22,0.961034
23,0.9608137
24,0.968353
25,0.96557736
26,0.9593772
27,0.9707149
28,0.96766007
29,0.97101414
30,0.9618483
31,0.9807345
32,0.969375
33,0.9694501
34,0.97355896
35,0.9865054
36,0.99851644
37,1.0045145
38,0.9809609
39,0.9872448
40,0.9887045
41,1.0126107
42,1.0063189
43,1.0247723
44,1.0180678
45,1.0243523
46,1.0055776
47,1.0248446
48,1.0350333
49,1.0420318
50,1.0183015
51,1.0357159
52,1.0353023
53,1.0571958
54,1.0604106
55,1.0759484
56,1.1193327
57,1.094212
58,1.1046699
59,1.1103737
60,1.1306206
61,0.9173962
62,0.8252029
63,0.79355955
64,0.7598534
65,0.74607074
66,0.7270392
67,0.7241206
68,0.70667917
69,0.7005757
70,0.6910292
71,0.68470913
72,0.67495936
73,0.67113185
74,0.6657728
75,0.66124964
76,0.65867007
77,0.6564085
78,0.6507099
79,0.6505347
80,0.641537
81,0.6284057
82,0.6348739
83,0.62504596
84,0.61915344
85,0.61478925
86,0.61538655
87,0.61259973
88,0.6043633
89,0.605097
90,0.6043974
91,0.59881645
92,0.6072132
93,0.589372
94,0.5906837
95,0.5848416
96,0.5874734
97,0.5806641
98,0.57875293
99,0.5795388
100,0.5836242
101,0.58162475
102,0.57099056
103,0.5724577
104,0.5654652
105,0.5664853
106,0.5721185
107,0.56292456
108,0.56849396
109,0.5561597
110,0.55710024
111,0.5530351
112,0.55099183
113,0.5498507
114,0.5508593
115,0.5458059
116,0.55137706
117,0.5430471
118,0.53859544
119,0.5400814
120,0.5375485
121,0.5244945
122,0.5182524
123,0.5187278
124,0.52060455
125,0.5192162
126,0.51345676
127,0.512921
128,0.5112025
129,0.51244646
130,0.509553
131,0.51050407
132,0.5166282
133,0.51540023
134,0.5109334
135,0.5083773
136,0.51490563
137,0.5073413
138,0.5060368
139,0.50519395
140,0.51368237
141,0.50810546
142,0.512053
143,0.51313895
144,0.51035196
145,0.50502235
146,0.5127701
147,0.5099634
148,0.50144243
149,0.50678664
150,0.51114815
