,train_loss
1,1.3047271
2,1.0073341
3,0.89005274
4,0.8203902
5,0.7726409
6,0.73514485
7,0.7041734
8,0.6759191
9,0.65273976
10,0.63330895
11,0.61600894
12,0.59759104
13,0.5824674
14,0.5705421
15,0.56151634
16,0.5398315
17,0.52846986
18,0.5281361
19,0.518325
20,0.5059427
21,0.49880874
22,0.48615342
23,0.48413396
24,0.4736705
25,0.46267557
26,0.46121004
27,0.453347
28,0.4540437
29,0.44721094
30,0.43717042
31,0.43790334
32,0.42764515
33,0.42220068
34,0.41446444
35,0.41335145
36,0.411179
37,0.40772277
38,0.40202546
39,0.3987556
40,0.3952242
41,0.38969946
42,0.3877251
43,0.3820651
44,0.3804772
45,0.3723569
46,0.37528923
47,0.36853698
48,0.36539868
49,0.36305285
50,0.3611279
51,0.35808924
52,0.35527998
53,0.35151497
54,0.35068014
55,0.34944937
56,0.34422112
57,0.34307554
58,0.34218436
59,0.33621296
60,0.33746833
61,0.29388252
62,0.27963054
63,0.2698839
64,0.2684621
65,0.26030898
66,0.25632852
67,0.25840694
68,0.25915197
69,0.25273743
70,0.25222516
71,0.25296986
72,0.25133336
73,0.24573566
74,0.24670774
75,0.24376644
76,0.24808204
77,0.24083209
78,0.24160554
79,0.24113095
80,0.24087885
81,0.23940597
82,0.23474656
83,0.23945174
84,0.23945916
85,0.23617458
86,0.23378496
87,0.23444223
88,0.23040827
89,0.23244023
90,0.23060723
91,0.23197196
92,0.2298717
93,0.23136486
94,0.2271034
95,0.23009993
96,0.22718504
97,0.22703087
98,0.22802982
99,0.22648826
100,0.22687274
101,0.2223405
102,0.22329755
103,0.22103022
104,0.22496542
105,0.22055408
106,0.22075777
107,0.22318582
108,0.22152999
109,0.2236861
110,0.22169569
111,0.21755286
112,0.21676803
113,0.21721455
114,0.21931489
115,0.21406426
116,0.21583132
117,0.21186458
118,0.2130858
119,0.21616748
120,0.21725006
121,0.20628895
122,0.21123707
123,0.20812161
124,0.20688163
125,0.21007508
126,0.20587082
127,0.20620495
128,0.20537138
129,0.20665024
130,0.2065346
131,0.2042595
132,0.20630491
133,0.204369
134,0.21104616
135,0.20167197
136,0.20420623
137,0.20653914
138,0.20209162
139,0.20240901
140,0.20996118
141,0.20480916
142,0.20715669
143,0.20432584
144,0.20809992
145,0.2055648
146,0.2040522
147,0.20407946
148,0.20560671
149,0.20260549
150,0.20641162
