,train_loss
1,1.4920086
2,1.1356043
3,0.99812436
4,0.911113
5,0.8639629
6,0.81233966
7,0.78166133
8,0.74848396
9,0.73303777
10,0.70673907
11,0.68897825
12,0.6704663
13,0.6616793
14,0.6474649
15,0.63150316
16,0.6254561
17,0.60972404
18,0.6036363
19,0.5989594
20,0.58569825
21,0.581999
22,0.56995237
23,0.56364036
24,0.5602369
25,0.54676706
26,0.54370064
27,0.5373546
28,0.5327302
29,0.5266906
30,0.53016317
31,0.5167031
32,0.50614315
33,0.51341456
34,0.5050657
35,0.5041337
36,0.4995784
37,0.4913485
38,0.49440032
39,0.48654717
40,0.48513138
41,0.4826753
42,0.47286427
43,0.4757269
44,0.4684439
45,0.46559644
46,0.46425113
47,0.4584855
48,0.45062923
49,0.46136168
50,0.45123065
51,0.45210034
52,0.44305208
53,0.44428238
54,0.43889263
55,0.43994474
56,0.43752095
57,0.44026792
58,0.42886955
59,0.43737933
60,0.4302199
61,0.35973245
62,0.3343316
63,0.33040833
64,0.32228142
65,0.31873742
66,0.31160936
67,0.31198454
68,0.3100069
69,0.30961925
70,0.30324975
71,0.30334863
72,0.30240017
73,0.30505982
74,0.29894453
75,0.29673564
76,0.2938591
77,0.29637772
78,0.2915823
79,0.2927265
80,0.28919217
81,0.2904108
82,0.28744632
83,0.28918096
84,0.28691795
85,0.28306717
86,0.28447753
87,0.2841069
88,0.281997
89,0.27687192
90,0.2788679
91,0.2829991
92,0.2789021
93,0.28292945
94,0.27543187
95,0.27649805
96,0.28019324
97,0.27420878
98,0.27386248
99,0.2769259
100,0.27398744
101,0.26869062
102,0.27339503
103,0.27031842
104,0.26648912
105,0.27102265
106,0.2683603
107,0.2651426
108,0.2687795
109,0.26991582
110,0.2658793
111,0.26601806
112,0.26614687
113,0.26870283
114,0.26419163
115,0.26040757
116,0.26213485
117,0.2621032
118,0.25989068
119,0.25990674
120,0.2614482
121,0.25350165
122,0.25443193
123,0.25328663
124,0.25102678
125,0.25480402
126,0.2539624
127,0.2489374
128,0.25278935
129,0.24968994
130,0.24996729
131,0.25670916
132,0.25153142
133,0.24915472
134,0.25537038
135,0.25133172
136,0.25020036
137,0.25035363
138,0.2510515
139,0.24649726
140,0.2495053
141,0.2507071
142,0.25404513
143,0.24887024
144,0.25261387
145,0.24767816
146,0.256268
147,0.24944003
148,0.24868652
149,0.2454774
150,0.2491631
