,train_loss
1,1.3501217
2,1.0209029
3,0.89935374
4,0.8263621
5,0.77674544
6,0.73622394
7,0.7056797
8,0.6728899
9,0.65808654
10,0.63306826
11,0.61785525
12,0.59557456
13,0.58206767
14,0.57017493
15,0.55369383
16,0.5502115
17,0.5330111
18,0.5267901
19,0.5081314
20,0.501532
21,0.5004439
22,0.48954687
23,0.47834608
24,0.47347552
25,0.46571296
26,0.46035752
27,0.45333242
28,0.45064664
29,0.44607624
30,0.44089106
31,0.43363157
32,0.42094144
33,0.42293203
34,0.41922444
35,0.41329587
36,0.41013065
37,0.40712735
38,0.3994491
39,0.39501145
40,0.39178023
41,0.38851973
42,0.38239262
43,0.38389418
44,0.37256187
45,0.36957237
46,0.3693661
47,0.36739498
48,0.36839944
49,0.35714528
50,0.355106
51,0.35581568
52,0.3557814
53,0.35014123
54,0.34461254
55,0.3412448
56,0.3456423
57,0.3446382
58,0.3395692
59,0.33597067
60,0.33356196
61,0.2897198
62,0.27878317
63,0.27026907
64,0.264568
65,0.2621659
66,0.2615933
67,0.25960124
68,0.2571259
69,0.2554896
70,0.25553977
71,0.2545307
72,0.2495769
73,0.25308606
74,0.249485
75,0.24669655
76,0.24925834
77,0.2453356
78,0.24595892
79,0.24625544
80,0.24369481
81,0.24473283
82,0.2414493
83,0.2428545
84,0.23737378
85,0.23721267
86,0.24041428
87,0.24112204
88,0.23909244
89,0.23548014
90,0.23768304
91,0.23187757
92,0.23715246
93,0.23787358
94,0.23525529
95,0.23424806
96,0.23757714
97,0.22773781
98,0.23080651
99,0.23204122
100,0.23165795
101,0.23522514
102,0.22772168
103,0.23365119
104,0.23516159
105,0.22516195
106,0.22777893
107,0.22875664
108,0.2277308
109,0.22458987
110,0.2229189
111,0.22449437
112,0.22438554
113,0.22543462
114,0.22417751
115,0.22312175
116,0.22226225
117,0.22328347
118,0.22168005
119,0.22027472
120,0.2190604
121,0.2168433
122,0.21779133
123,0.21721303
124,0.2166685
125,0.21149057
126,0.21294488
127,0.21475182
128,0.21757104
129,0.2113991
130,0.21377896
131,0.21380067
132,0.21089883
133,0.21460254
134,0.21453987
135,0.21534373
136,0.21566485
137,0.21033283
138,0.21337833
139,0.21119457
140,0.21693897
141,0.21184653
142,0.20909107
143,0.21510458
144,0.21601607
145,0.21431474
146,0.21422252
147,0.21104208
148,0.21183342
149,0.21074039
150,0.21494775
