,train_loss
1,1.5565813
2,1.2992746
3,1.204808
4,1.1412416
5,1.0899483
6,1.0515066
7,1.0359939
8,0.997084
9,0.9842393
10,0.9613675
11,0.9382866
12,0.92361
13,0.9147215
14,0.90786403
15,0.8882803
16,0.8821884
17,0.87915
18,0.86509824
19,0.86258703
20,0.85382557
21,0.8547222
22,0.8359083
23,0.8331115
24,0.82783335
25,0.82079226
26,0.8054617
27,0.8087972
28,0.8024261
29,0.7942607
30,0.79250985
31,0.8065938
32,0.78438145
33,0.7888845
34,0.7813932
35,0.76499134
36,0.77837986
37,0.765902
38,0.7516324
39,0.755108
40,0.75332904
41,0.758491
42,0.748
43,0.7514269
44,0.74139607
45,0.74056715
46,0.7266956
47,0.73857385
48,0.73186123
49,0.7286944
50,0.73395634
51,0.72912586
52,0.7283893
53,0.7174837
54,0.7262911
55,0.70989096
56,0.71205246
57,0.71886605
58,0.7016938
59,0.71504194
60,0.7144017
61,0.5768464
62,0.5477657
63,0.53945506
64,0.5339321
65,0.52856994
66,0.5285666
67,0.52208644
68,0.52087545
69,0.519292
70,0.5200072
71,0.5151133
72,0.51413184
73,0.510194
74,0.5102867
75,0.5075496
76,0.5038217
77,0.5087347
78,0.5030056
79,0.49871233
80,0.5025491
81,0.5002103
82,0.49834004
83,0.4949624
84,0.4980666
85,0.5005418
86,0.49810493
87,0.49521637
88,0.500534
89,0.4954508
90,0.49220175
91,0.48933738
92,0.49135733
93,0.48693433
94,0.48815647
95,0.48777196
96,0.489646
97,0.48900613
98,0.489737
99,0.48653874
100,0.4842728
101,0.48154703
102,0.48194718
103,0.48075554
104,0.48352504
105,0.48198637
106,0.47673026
107,0.4840892
108,0.4741845
109,0.47880697
110,0.47432
111,0.47053805
112,0.47803482
113,0.47607532
114,0.4746678
115,0.4720897
116,0.4711956
117,0.47036642
118,0.47056317
119,0.47102544
120,0.4666545
121,0.45568386
122,0.457365
123,0.45236102
124,0.45003065
125,0.45273417
126,0.4505313
127,0.456688
128,0.45223504
129,0.4530986
130,0.45131078
131,0.4489421
132,0.4526096
133,0.45024762
134,0.44888344
135,0.45237574
136,0.44522473
137,0.44852853
138,0.4480519
139,0.4512912
140,0.4483753
141,0.44969112
142,0.45529532
143,0.4492118
144,0.44859225
145,0.45420986
146,0.4544895
147,0.45055392
148,0.44693854
149,0.45181677
150,0.44316062
