,train_loss
1,1.3898332
2,1.0625086
3,0.93484384
4,0.84895676
5,0.79522437
6,0.7509159
7,0.71930844
8,0.69444925
9,0.6702666
10,0.6387144
11,0.630965
12,0.61148876
13,0.5891249
14,0.578531
15,0.56589186
16,0.5543409
17,0.5426311
18,0.5320053
19,0.52500534
20,0.5137857
21,0.5016155
22,0.4995168
23,0.48813337
24,0.48462817
25,0.472594
26,0.46963534
27,0.4615566
28,0.4608742
29,0.4522521
30,0.4464144
31,0.4367071
32,0.43491614
33,0.43403143
34,0.42555645
35,0.42432418
36,0.41618267
37,0.41222942
38,0.4090791
39,0.4084189
40,0.40158322
41,0.39529544
42,0.39107582
43,0.38959512
44,0.38194096
45,0.38266405
46,0.3742515
47,0.37396973
48,0.37081087
49,0.36784062
50,0.3735257
51,0.3598361
52,0.3609057
53,0.3533072
54,0.3539969
55,0.3484497
56,0.35232297
57,0.3442511
58,0.34575588
59,0.34068328
60,0.3355102
61,0.29351196
62,0.2815768
63,0.2784248
64,0.27523062
65,0.2679468
66,0.2673011
67,0.26398334
68,0.26386043
69,0.26148248
70,0.26187828
71,0.25869516
72,0.2566005
73,0.25975606
74,0.2517297
75,0.2563556
76,0.25281727
77,0.2508058
78,0.25128397
79,0.25199032
80,0.24571113
81,0.24524195
82,0.24736655
83,0.24851117
84,0.2508394
85,0.24370939
86,0.2438862
87,0.24477398
88,0.24354357
89,0.24492395
90,0.24163109
91,0.24266721
92,0.23965442
93,0.24153496
94,0.23817211
95,0.24070206
96,0.23811719
97,0.2365135
98,0.23302636
99,0.2358983
100,0.23651452
101,0.2385082
102,0.23928586
103,0.232185
104,0.23182505
105,0.23657022
106,0.23120792
107,0.23132001
108,0.23266335
109,0.23043077
110,0.23155238
111,0.22843584
112,0.23153643
113,0.229347
114,0.22319643
115,0.22813226
116,0.22823621
117,0.22926797
118,0.22590408
119,0.22793639
120,0.2288811
121,0.22290426
122,0.22214703
123,0.22118835
124,0.21849191
125,0.22080262
126,0.22153306
127,0.22009553
128,0.21968456
129,0.21770234
130,0.21870202
131,0.21951409
132,0.21733698
133,0.21755444
134,0.21958868
135,0.21436837
136,0.21400559
137,0.22190833
138,0.21491943
139,0.21832152
140,0.2166394
141,0.21734923
142,0.21638966
143,0.21975875
144,0.2200948
145,0.2169748
146,0.22096871
147,0.2210689
148,0.215281
149,0.2164107
150,0.21744497
