,train_loss
1,2.0241823
2,1.9566879
3,1.9380647
4,1.9425588
5,1.9446186
6,1.9383649
7,1.9354781
8,1.9381793
9,1.9291483
10,1.9304498
11,1.9333178
12,1.9392157
13,1.9218172
14,1.9381994
15,1.9317421
16,1.9356377
17,1.9379065
18,1.926296
19,1.9274062
20,1.941702
21,1.9458408
22,1.937264
23,1.9427614
24,1.9370657
25,1.9311829
26,1.9276203
27,1.932174
28,1.9409786
29,1.9369442
30,1.929548
31,1.9305446
32,1.9417305
33,1.9321564
34,1.939841
35,1.928022
36,1.9304737
37,1.92474
38,1.9329288
39,1.9286212
40,1.9342577
41,1.9420028
42,1.9339122
43,1.945737
44,1.9333503
45,1.9379616
46,1.9456154
47,1.9369041
48,1.9399327
49,1.9522339
50,1.9291847
51,1.9401044
52,1.9469768
53,1.9351691
54,1.9300863
55,1.9472243
56,1.9305351
57,1.9373091
58,1.9364995
59,1.9378939
60,1.9418012
61,1.9337807
62,1.9188563
63,1.9193316
64,1.9088427
65,1.9138153
66,1.9154439
67,1.909182
68,1.9051102
69,1.9067283
70,1.9062831
71,1.9062175
72,1.9045599
73,1.9062234
74,1.901491
75,1.8994248
76,1.9001201
77,1.8937986
78,1.8984323
79,1.8970579
80,1.9000224
81,1.8995436
82,1.8934983
83,1.8993602
84,1.8953089
85,1.9030362
86,1.8982526
87,1.897769
88,1.8990564
89,1.8918225
90,1.8895608
91,1.8940953
92,1.897939
93,1.8934089
94,1.8969622
95,1.8951098
96,1.8904963
97,1.8930702
98,1.8949099
99,1.8879286
100,1.8954403
