,train_loss
1,2.286069
2,2.1800218
3,2.0187793
4,1.8869393
5,1.8057203
6,1.7316606
7,1.6894592
8,1.6425339
9,1.6101309
10,1.5830677
11,1.5623777
12,1.5390965
13,1.5262492
14,1.5187168
15,1.5133141
16,1.4937848
17,1.4857776
18,1.4856136
19,1.4778378
20,1.476704
21,1.4669633
22,1.4623893
23,1.4505787
24,1.4462032
25,1.451377
26,1.4432212
27,1.4442061
28,1.4378058
29,1.4377284
30,1.4365752
31,1.4244509
32,1.425489
33,1.4212576
34,1.4180713
35,1.4243957
36,1.4190911
37,1.417057
38,1.4214278
39,1.4171726
40,1.4064221
41,1.4159517
42,1.4091473
43,1.407708
44,1.4117779
45,1.4036348
46,1.3959851
47,1.4072856
48,1.4025816
49,1.4007285
50,1.4033718
51,1.3966459
52,1.3997563
53,1.4027716
54,1.3944135
55,1.398616
56,1.4001724
57,1.3938832
58,1.3880208
59,1.3897138
60,1.3920826
61,1.3842304
62,1.3826488
63,1.3808941
64,1.375361
65,1.3848534
66,1.3786054
67,1.3844908
68,1.3781278
69,1.3814209
70,1.3765407
71,1.382626
72,1.3737669
73,1.3807348
74,1.3816876
75,1.3780258
76,1.3802447
77,1.3895701
78,1.3805858
79,1.3829451
80,1.3838737
81,1.3805289
82,1.3746461
83,1.3813378
84,1.3764399
85,1.3770187
86,1.3755776
87,1.3871533
88,1.3779677
89,1.380459
90,1.3839935
91,1.3810323
92,1.3766698
93,1.3718532
94,1.3720964
95,1.3778487
96,1.3833216
97,1.3704804
98,1.3858294
99,1.3825626
100,1.3725375
