,train_loss
1,2.1474104
2,1.9057502
3,1.8533125
4,1.8375663
5,1.8242749
6,1.8191001
7,1.8093241
8,1.8076158
9,1.8027318
10,1.7961906
11,1.7971165
12,1.7968282
13,1.7923222
14,1.7915767
15,1.7909123
16,1.7796941
17,1.7895737
18,1.782176
19,1.7841573
20,1.785198
21,1.7785956
22,1.7794433
23,1.7802812
24,1.7797735
25,1.7760314
26,1.7797302
27,1.7805095
28,1.7760051
29,1.7715257
30,1.7772669
31,1.7817913
32,1.773704
33,1.7792928
34,1.7743067
35,1.7791822
36,1.7736073
37,1.7733777
38,1.7711569
39,1.7676003
40,1.7699894
41,1.7686782
42,1.7692451
43,1.7707998
44,1.7723022
45,1.7744591
46,1.7675848
47,1.7673377
48,1.7695569
49,1.7639477
50,1.7570847
51,1.766575
52,1.7670915
53,1.7659159
54,1.7616506
55,1.7712108
56,1.768182
57,1.7614197
58,1.7629359
59,1.7656746
60,1.7620262
61,1.7617619
62,1.7633268
63,1.7596918
64,1.7551016
65,1.7571751
66,1.754273
67,1.7504255
68,1.751938
69,1.7609233
70,1.7507904
71,1.7533361
72,1.7625998
73,1.7564498
74,1.7627375
75,1.7560232
76,1.7551833
77,1.7529953
78,1.7548969
79,1.7536235
80,1.762627
81,1.7572135
82,1.753351
83,1.751396
84,1.7570126
85,1.7519931
86,1.7554344
87,1.7582339
88,1.7504989
89,1.7557853
90,1.7545623
91,1.7566757
92,1.7553366
93,1.7507986
94,1.7510142
95,1.7526083
96,1.7556397
97,1.7552471
98,1.7610909
99,1.757989
100,1.7541664
