,train_loss
1,2.3017676
2,2.296777
3,2.2868493
4,2.2583618
5,2.194282
6,2.1215901
7,2.0601578
8,2.012504
9,1.9616759
10,1.9220506
11,1.8814634
12,1.8471761
13,1.81126
14,1.7821401
15,1.752414
16,1.7330756
17,1.7050989
18,1.6854476
19,1.6770021
20,1.6542495
21,1.6440768
22,1.6267209
23,1.6071651
24,1.6031063
25,1.5834832
26,1.5729202
27,1.5713071
28,1.5671817
29,1.5455652
30,1.5436933
31,1.5308182
32,1.534059
33,1.5296465
34,1.5178387
35,1.5164375
36,1.5238681
37,1.5105908
38,1.4992586
39,1.4980121
40,1.5002079
41,1.4934198
42,1.486149
43,1.4890729
44,1.4788572
45,1.4778336
46,1.4770371
47,1.4745343
48,1.4713892
49,1.4689637
50,1.4627985
51,1.4652913
52,1.4641812
53,1.4579324
54,1.4581541
55,1.4509168
56,1.4576334
57,1.4528387
58,1.4508001
59,1.4420923
60,1.4447254
61,1.4458932
62,1.4488165
63,1.441303
64,1.4443184
65,1.4459741
66,1.446724
67,1.4425914
68,1.4482013
69,1.4482532
70,1.4320846
71,1.4384418
72,1.4366524
73,1.451948
74,1.4495662
75,1.4396057
76,1.4379792
77,1.4414937
78,1.4383105
79,1.4337658
80,1.4455788
81,1.4360826
82,1.4436027
83,1.4365894
84,1.4399432
85,1.4395026
86,1.4423681
87,1.4333931
88,1.4470357
89,1.4410276
90,1.4422174
91,1.4390879
92,1.4378538
93,1.436565
94,1.4440136
95,1.4350443
96,1.4422773
97,1.4397424
98,1.4420766
99,1.4415921
100,1.4430957
