,train_loss
1,1.6922451
2,1.469655
3,1.4332141
4,1.4279598
5,1.4129559
6,1.4043971
7,1.3942524
8,1.3912382
9,1.3775513
10,1.3776194
11,1.369448
12,1.3746184
13,1.3692943
14,1.3624867
15,1.3672873
16,1.3591274
17,1.3600978
18,1.3623524
19,1.3583425
20,1.3656034
21,1.3607029
22,1.3581151
23,1.3445961
24,1.3533145
25,1.3444967
26,1.3416736
27,1.3417989
28,1.3406105
29,1.3481449
30,1.3362186
31,1.3388625
32,1.3366616
33,1.3326901
34,1.3416537
35,1.3372078
36,1.3323331
37,1.3366207
38,1.3284078
39,1.3385991
40,1.330183
41,1.3400898
42,1.3277249
43,1.3280144
44,1.3335934
45,1.3269856
46,1.3365624
47,1.3315632
48,1.332205
49,1.323915
50,1.3165514
51,1.3306633
52,1.3216026
53,1.3333908
54,1.3238814
55,1.3235158
56,1.3279637
57,1.3178821
58,1.3130511
59,1.3163936
60,1.3247086
61,1.3216451
62,1.3061376
63,1.3059663
64,1.2990047
65,1.3006643
66,1.30693
67,1.3034604
68,1.3016287
69,1.3023982
70,1.3007166
71,1.2966379
72,1.297423
73,1.2931483
74,1.3017564
75,1.3003209
76,1.2974104
77,1.2877604
78,1.2928566
79,1.2948986
80,1.288218
81,1.2965888
82,1.2922367
83,1.2954093
84,1.3029631
85,1.2921064
86,1.2878803
87,1.299241
88,1.2902776
89,1.2886457
90,1.2910205
91,1.2903658
92,1.2899109
93,1.3024975
94,1.295327
95,1.292411
96,1.2919599
97,1.2966009
98,1.2940749
99,1.2892934
100,1.2878703
