,train_loss
1,2.0014071
2,1.6790444
3,1.5731503
4,1.5240111
5,1.472575
6,1.4594873
7,1.4332314
8,1.4194009
9,1.4090389
10,1.3980244
11,1.3847693
12,1.3743528
13,1.3748811
14,1.3680537
15,1.3654792
16,1.3424848
17,1.3494453
18,1.3459156
19,1.338882
20,1.3334963
21,1.3263451
22,1.3372678
23,1.3320189
24,1.326328
25,1.3193678
26,1.3269172
27,1.3227108
28,1.3191234
29,1.3185092
30,1.316008
31,1.3084637
32,1.3228586
33,1.3130747
34,1.3001033
35,1.3098354
36,1.3091984
37,1.3110529
38,1.3096216
39,1.3014681
40,1.3031901
41,1.3009927
42,1.2973155
43,1.3044246
44,1.2963362
45,1.2978379
46,1.2954202
47,1.2889142
48,1.3057464
49,1.3015338
50,1.3009627
51,1.2869428
52,1.3037151
53,1.2908564
54,1.2932142
55,1.2901015
56,1.2868627
57,1.2840729
58,1.2838151
59,1.2828231
60,1.2875154
61,1.2806661
62,1.2773141
63,1.2722714
64,1.2741475
65,1.2692811
66,1.2761235
67,1.2710165
68,1.2710894
69,1.2690116
70,1.2674222
71,1.2699783
72,1.2781161
73,1.2674109
74,1.2642862
75,1.2643108
76,1.2719107
77,1.2753175
78,1.2819928
79,1.2706265
80,1.2647389
81,1.2675067
82,1.2706565
83,1.2692908
84,1.2649891
85,1.2574189
86,1.2696371
87,1.2616016
88,1.2687659
89,1.2718523
90,1.2584152
91,1.2560325
92,1.2740309
93,1.2609239
94,1.2634284
95,1.260684
96,1.264756
97,1.2682331
98,1.2584317
99,1.258625
100,1.2590772
