,train_loss
1,1.8339565
2,1.5291009
3,1.4570061
4,1.4178747
5,1.4025196
6,1.3821051
7,1.3689935
8,1.3615072
9,1.3611462
10,1.3570633
11,1.3523355
12,1.3445019
13,1.3315631
14,1.3351467
15,1.3367198
16,1.3261333
17,1.3238908
18,1.3128837
19,1.318602
20,1.3143427
21,1.31281
22,1.314355
23,1.296197
24,1.3047088
25,1.3053881
26,1.2996686
27,1.3050728
28,1.2992544
29,1.3013872
30,1.2966174
31,1.2969035
32,1.2995831
33,1.3063245
34,1.2953156
35,1.2983876
36,1.2977962
37,1.3008857
38,1.2861001
39,1.2932969
40,1.3008322
41,1.2889005
42,1.2936193
43,1.2772259
44,1.2918968
45,1.2917238
46,1.2905979
47,1.2909561
48,1.2872671
49,1.2873222
50,1.2818962
51,1.2870238
52,1.2837692
53,1.2906059
54,1.2823126
55,1.28129
56,1.2764941
57,1.28329
58,1.2858835
59,1.2754707
60,1.2816586
61,1.2735434
62,1.271485
63,1.2725517
64,1.2701613
65,1.2671934
66,1.2693987
67,1.2566965
68,1.2652509
69,1.2694788
70,1.2621984
71,1.2692114
72,1.2571998
73,1.2615402
74,1.2609744
75,1.2656975
76,1.2575812
77,1.262957
78,1.2590266
79,1.2613248
80,1.2634926
81,1.2579023
82,1.2584559
83,1.2632549
84,1.2604085
85,1.2568604
86,1.2524571
87,1.2560599
88,1.2594763
89,1.2578444
90,1.2592591
91,1.2545961
92,1.258654
93,1.261861
94,1.2585838
95,1.2576476
96,1.2556895
97,1.2578717
98,1.2524983
99,1.2596487
100,1.2537174
