,train_loss
1,2.1564677
2,1.843811
3,1.7089243
4,1.6250274
5,1.5812474
6,1.558442
7,1.5353572
8,1.5130554
9,1.4958763
10,1.4708799
11,1.4668936
12,1.4603747
13,1.4486108
14,1.4407822
15,1.4289622
16,1.4200857
17,1.4150996
18,1.4148626
19,1.4039664
20,1.3975042
21,1.3921016
22,1.3880872
23,1.385008
24,1.3829229
25,1.3760365
26,1.3734137
27,1.3647922
28,1.3641685
29,1.3678069
30,1.3601531
31,1.3591317
32,1.3605543
33,1.3474603
34,1.3528979
35,1.3568342
36,1.3468261
37,1.347591
38,1.3489147
39,1.3444549
40,1.3327003
41,1.3395916
42,1.3377346
43,1.3347505
44,1.33228
45,1.3312062
46,1.3264349
47,1.3330901
48,1.3258556
49,1.3385682
50,1.3313978
51,1.3255732
52,1.3251015
53,1.3221877
54,1.3184762
55,1.3132044
56,1.3216786
57,1.3154376
58,1.3202231
59,1.3105989
60,1.3112981
61,1.3184028
62,1.3030145
63,1.302359
64,1.3084447
65,1.2958169
66,1.2997353
67,1.3050553
68,1.299879
69,1.299658
70,1.3088732
71,1.2871896
72,1.3036284
73,1.2976127
74,1.299822
75,1.2939539
76,1.2991614
77,1.3029333
78,1.3027364
79,1.2922676
80,1.2931268
81,1.2936064
82,1.3004442
83,1.292196
84,1.3003441
85,1.2934779
86,1.3018315
87,1.2947862
88,1.295061
89,1.291019
90,1.2958301
91,1.291719
92,1.2989804
93,1.2829206
94,1.2958038
95,1.2998732
96,1.3011696
97,1.2985381
98,1.2940662
99,1.2939081
100,1.294446
