,train_loss
1,1.7043531
2,1.4754295
3,1.4441098
4,1.4343276
5,1.4192984
6,1.3928974
7,1.3879756
8,1.3865631
9,1.3782891
10,1.3786505
11,1.370943
12,1.3667613
13,1.357402
14,1.3566177
15,1.3644688
16,1.3581132
17,1.3622948
18,1.3463707
19,1.3572377
20,1.3522004
21,1.3475778
22,1.3359907
23,1.3434619
24,1.3452302
25,1.3413271
26,1.3442495
27,1.3390096
28,1.3363246
29,1.3362348
30,1.3252808
31,1.3390648
32,1.3338454
33,1.3229077
34,1.3231333
35,1.327381
36,1.3235794
37,1.3187748
38,1.3290358
39,1.3186916
40,1.3270168
41,1.3254459
42,1.3271989
43,1.3176067
44,1.335689
45,1.3238388
46,1.3186963
47,1.3206557
48,1.322325
49,1.3128066
50,1.3112574
51,1.3169496
52,1.3080974
53,1.3118627
54,1.3191092
55,1.3215317
56,1.3201073
57,1.3164035
58,1.3140663
59,1.3113453
60,1.3207183
61,1.2992772
62,1.286349
63,1.3011633
64,1.292
65,1.285819
66,1.2885543
67,1.2879927
68,1.2909039
69,1.2853202
70,1.285717
71,1.2942822
72,1.2866478
73,1.2956698
74,1.2847278
75,1.2874651
76,1.2899841
77,1.2865652
78,1.2867247
79,1.2826781
80,1.2842366
81,1.2890484
82,1.2831236
83,1.29027
84,1.2887808
85,1.2857534
86,1.294601
87,1.286612
88,1.279506
89,1.2816917
90,1.2869272
91,1.2793566
92,1.2765039
93,1.2852072
94,1.2817656
95,1.2771547
96,1.2932942
97,1.278732
98,1.2821542
99,1.2939128
100,1.2781537
