,train_loss
1,2.0020223
2,1.6765217
3,1.5686786
4,1.521724
5,1.4857656
6,1.4550309
7,1.4356127
8,1.4233342
9,1.4116352
10,1.3985426
11,1.394627
12,1.3817898
13,1.381328
14,1.3732163
15,1.3693824
16,1.3608158
17,1.3547419
18,1.3611642
19,1.3460379
20,1.3485315
21,1.3450216
22,1.3491218
23,1.3388423
24,1.3303438
25,1.3368425
26,1.320802
27,1.332937
28,1.3348044
29,1.3184397
30,1.3199894
31,1.3273747
32,1.3260502
33,1.3182862
34,1.3147404
35,1.3152572
36,1.3127929
37,1.3056757
38,1.3073568
39,1.3096141
40,1.3133043
41,1.3078406
42,1.3054526
43,1.3003745
44,1.3021116
45,1.2996469
46,1.3095418
47,1.2899895
48,1.3012806
49,1.2934557
50,1.2987366
51,1.296779
52,1.2945008
53,1.3002454
54,1.2935939
55,1.2888179
56,1.2998782
57,1.2909639
58,1.2903951
59,1.2992516
60,1.2822994
61,1.2970312
62,1.2832404
63,1.2863573
64,1.2778639
65,1.2761877
66,1.2793988
67,1.2772913
68,1.2811857
69,1.2806023
70,1.2845279
71,1.2786323
72,1.2664572
73,1.2755381
74,1.2639556
75,1.262431
76,1.2712113
77,1.2643661
78,1.2694458
79,1.2707882
80,1.2760879
81,1.271472
82,1.2705753
83,1.2741154
84,1.266627
85,1.2736453
86,1.2763761
87,1.2605127
88,1.2711225
89,1.2731059
90,1.2676226
91,1.2689381
92,1.2746314
93,1.2650079
94,1.2659905
95,1.2700508
96,1.2724311
97,1.268666
98,1.2650774
99,1.2711092
100,1.2649949
