,train_loss
1,1.8243634
2,1.531022
3,1.4691236
4,1.4408928
5,1.4140213
6,1.3960735
7,1.3843238
8,1.3695786
9,1.3682812
10,1.3548787
11,1.3502154
12,1.346082
13,1.3450128
14,1.3427578
15,1.3482958
16,1.3394318
17,1.3474026
18,1.3324622
19,1.3236808
20,1.3262806
21,1.3353559
22,1.3181732
23,1.3198339
24,1.3121872
25,1.3193692
26,1.3103849
27,1.3153782
28,1.3128031
29,1.3083582
30,1.3157096
31,1.3113456
32,1.3154827
33,1.2983887
34,1.3070059
35,1.298925
36,1.3043371
37,1.3041394
38,1.3024973
39,1.2947086
40,1.2978389
41,1.2947716
42,1.3077472
43,1.2915231
44,1.2842878
45,1.2990528
46,1.2977623
47,1.2870786
48,1.2981995
49,1.2947633
50,1.3042157
51,1.2937194
52,1.2815355
53,1.2841309
54,1.2910916
55,1.292651
56,1.2886459
57,1.2878702
58,1.2828828
59,1.2934126
60,1.2835145
61,1.2826202
62,1.2690705
63,1.2686697
64,1.2745316
65,1.2743058
66,1.2746059
67,1.2658592
68,1.2611642
69,1.2645268
70,1.2657579
71,1.2755625
72,1.26841
73,1.2721298
74,1.2719846
75,1.2628027
76,1.2658414
77,1.2600573
78,1.2709366
79,1.2678233
80,1.270393
81,1.2664502
82,1.2654287
83,1.2587637
84,1.2779366
85,1.2770578
86,1.2624139
87,1.2686355
88,1.268287
89,1.268165
90,1.2688545
91,1.2623444
92,1.2591319
93,1.2651062
94,1.2672457
95,1.2672281
96,1.2575061
97,1.2599031
98,1.2578784
99,1.2581184
100,1.2623235
