,train_loss
1,1.9080245
2,1.4711628
3,1.1900948
4,0.9629694
5,0.8024842
6,0.69559175
7,0.6270326
8,0.5793944
9,0.5310228
10,0.4996533
11,0.46987244
12,0.44063658
13,0.41974983
14,0.39943916
15,0.37948862
16,0.3641325
17,0.34770587
18,0.3342366
19,0.31979817
20,0.30536112
21,0.29673252
22,0.29164684
23,0.27367252
24,0.2663212
25,0.25757608
26,0.2500061
27,0.2374456
28,0.23255506
29,0.22320582
30,0.22007306
31,0.2072434
32,0.20363596
33,0.19653839
34,0.19277863
35,0.18747596
36,0.18085341
37,0.17658977
38,0.16894464
39,0.16721864
40,0.16330864
41,0.15653704
42,0.15229663
43,0.14596546
44,0.14377098
45,0.14119495
46,0.13357195
47,0.13646396
48,0.1288712
49,0.13092944
50,0.12457548
51,0.12083729
52,0.11713098
53,0.11195982
54,0.11275293
55,0.10903474
56,0.1049806
57,0.10865768
58,0.10100804
59,0.09508984
60,0.0987418
61,0.0993806
62,0.09727595
63,0.08884866
64,0.09498407
65,0.08832467
66,0.08481667
67,0.0843617
68,0.07770333
69,0.0828454
70,0.07491219
71,0.07863678
72,0.07595776
73,0.074676864
74,0.06998758
75,0.07486098
76,0.07025887
77,0.06860477
78,0.069209665
79,0.06884159
80,0.06551063
81,0.06377663
82,0.06366018
83,0.062028658
84,0.060538292
85,0.061985187
86,0.05789006
87,0.055466413
88,0.06036992
89,0.055763334
90,0.054443862
91,0.054160353
92,0.05603325
93,0.053052507
94,0.050622765
95,0.052136794
96,0.05155998
97,0.050188858
98,0.048432324
99,0.049169768
100,0.04370514
101,0.04359042
102,0.04615492
103,0.045134805
104,0.045071546
105,0.04451046
106,0.045225978
107,0.043054502
108,0.040935077
109,0.04287183
110,0.04012029
111,0.03922625
112,0.041236345
113,0.03841919
114,0.042315517
115,0.03835278
116,0.03719719
117,0.03440954
118,0.037070762
119,0.037027944
120,0.03672786
121,0.03466569
122,0.036981467
123,0.035291
124,0.033939976
125,0.031324375
126,0.036005374
127,0.03475854
128,0.030979814
129,0.03373434
130,0.034539606
131,0.031425003
132,0.028688803
133,0.029072499
134,0.031487316
135,0.032492086
136,0.02916224
137,0.02883471
138,0.033762105
139,0.029356774
140,0.026114492
141,0.02806324
142,0.03157521
143,0.025997384
144,0.026022354
145,0.025078883
146,0.028676147
147,0.023579756
148,0.028266428
149,0.023537751
150,0.028194673
151,0.018013481
152,0.012248622
153,0.011138762
154,0.009001028
155,0.008460396
156,0.007532166
157,0.007560055
158,0.006237847
159,0.006468496
160,0.0066645555
161,0.006722606
162,0.006202319
163,0.0061172103
164,0.0051547624
165,0.0056460644
166,0.005548078
167,0.005274242
168,0.0051241196
169,0.004877161
170,0.004465312
171,0.0045065777
172,0.005385269
173,0.0046964763
174,0.0052337665
175,0.0048375446
176,0.0045936573
177,0.0044201603
178,0.003932181
179,0.0043875445
180,0.004564946
181,0.00417423
182,0.0040325513
183,0.0037896985
184,0.003562519
185,0.0048089614
186,0.004110483
187,0.0037765047
188,0.0037801797
189,0.0037181827
190,0.0033583667
191,0.003198933
192,0.0035028365
193,0.0033641122
194,0.0036736496
195,0.0037198379
196,0.0034255064
197,0.0034630166
198,0.0034937968
199,0.003378846
200,0.003601228
201,0.003562973
202,0.0032077276
203,0.003243633
204,0.003302799
205,0.0032226227
206,0.0026534835
207,0.0031431362
208,0.0033399237
209,0.0030947227
210,0.002899784
211,0.0032263862
212,0.00333059
213,0.0031239567
214,0.002691885
215,0.003121733
216,0.0027984018
217,0.0030328238
218,0.0027175322
219,0.0025628575
220,0.0026975262
221,0.0028569547
222,0.0026244847
223,0.0029813424
224,0.0024760924
225,0.0023730742
226,0.0024101124
227,0.0026377775
228,0.0025393823
229,0.0028640218
230,0.0023458544
231,0.002545799
232,0.0023714027
233,0.0023072101
234,0.0023027572
235,0.0026148953
236,0.0026870908
237,0.00262059
238,0.0023114597
239,0.002774784
240,0.0023652792
241,0.0025452755
242,0.002525246
243,0.0026991868
244,0.0021620656
245,0.0022596186
246,0.0019980203
247,0.002524242
248,0.0024330728
249,0.0024028309
250,0.002424228
251,0.0026206998
252,0.0022012813
253,0.0025292127
254,0.0022702708
255,0.0023547723
256,0.0021449921
257,0.0020607596
258,0.0026670983
259,0.0021555321
260,0.002655477
261,0.0024450005
262,0.0022541217
263,0.002243179
264,0.002202061
265,0.0022589162
266,0.0023952576
267,0.0025163684
268,0.002312825
269,0.0020686176
270,0.0021862835
271,0.0023738537
272,0.0027555996
273,0.0022524367
274,0.0025293399
275,0.002473519
276,0.0023392146
277,0.0020289223
278,0.0022858514
279,0.0023177443
280,0.0023406413
281,0.0028488245
282,0.002153207
283,0.0022152015
284,0.0019725014
285,0.0022162213
286,0.0016897339
287,0.0025578171
288,0.002385237
289,0.0026847748
290,0.0021776606
291,0.002226516
292,0.0020511462
293,0.0023857253
294,0.002114028
295,0.002385119
296,0.0028364507
297,0.0022502483
298,0.0027282164
299,0.0023248177
300,0.0025789533
