,train_loss
1,1.7197948
2,1.1706779
3,0.90908325
4,0.75005984
5,0.65056527
6,0.5844242
7,0.5293214
8,0.49492443
9,0.45788997
10,0.4281211
11,0.405947
12,0.3839339
13,0.36004764
14,0.34324795
15,0.32837903
16,0.31379914
17,0.29962304
18,0.28638983
19,0.2776147
20,0.26661834
21,0.2559702
22,0.24528499
23,0.23925565
24,0.22933105
25,0.2200412
26,0.20940717
27,0.20454934
28,0.19653428
29,0.19199456
30,0.18464307
31,0.1753789
32,0.17134687
33,0.17050323
34,0.1658675
35,0.16053247
36,0.15233879
37,0.14600529
38,0.14320499
39,0.1429051
40,0.13578601
41,0.13365169
42,0.1267306
43,0.12510435
44,0.119851455
45,0.11529479
46,0.11628056
47,0.110819906
48,0.109220795
49,0.1049269
50,0.1026116
51,0.09835241
52,0.096961185
53,0.094995335
54,0.09372718
55,0.09146709
56,0.084773295
57,0.0909568
58,0.08281514
59,0.080940485
60,0.08303329
61,0.08105824
62,0.07509889
63,0.07837126
64,0.074951515
65,0.06833516
66,0.07159908
67,0.068214245
68,0.07137189
69,0.06570868
70,0.0639588
71,0.07244525
72,0.062450435
73,0.062103096
74,0.056655638
75,0.061609168
76,0.052510004
77,0.05701011
78,0.0568715
79,0.055160347
80,0.053686034
81,0.052930865
82,0.052286018
83,0.05164335
84,0.05391483
85,0.05171593
86,0.04836567
87,0.04525642
88,0.044818904
89,0.04471127
90,0.045354042
91,0.04427862
92,0.044539656
93,0.04129814
94,0.03999577
95,0.04344957
96,0.044442166
97,0.03855409
98,0.036625765
99,0.039285935
100,0.035049826
101,0.035162676
102,0.03621275
103,0.03879753
104,0.036009002
105,0.038772076
106,0.033360116
107,0.034881648
108,0.036051374
109,0.033439502
110,0.033350058
111,0.03423721
112,0.03224021
113,0.03200818
114,0.030409122
115,0.0284547
116,0.031439126
117,0.031260714
118,0.031253077
119,0.031135578
120,0.030980498
121,0.02950475
122,0.026714003
123,0.027785964
124,0.027397167
125,0.026813569
126,0.029628785
127,0.024638535
128,0.026204094
129,0.02563787
130,0.029636588
131,0.027656356
132,0.024049945
133,0.02438045
134,0.027189037
135,0.02290852
136,0.024242505
137,0.026817877
138,0.021131763
139,0.02409211
140,0.022421332
141,0.024215208
142,0.023921428
143,0.020088669
144,0.022731194
145,0.020323139
146,0.026621938
147,0.023214139
148,0.021087406
149,0.0212336
150,0.021515196
151,0.012319179
152,0.009161589
153,0.0074241385
154,0.006168843
155,0.006765247
156,0.005290101
157,0.005358223
158,0.0056258305
159,0.0053895954
160,0.0050312444
161,0.0045963936
162,0.0045555765
163,0.003874415
164,0.003803024
165,0.0043662004
166,0.0033232558
167,0.0037658385
168,0.0033731307
169,0.003819454
170,0.0034050457
171,0.0033937574
172,0.003416451
173,0.0027780298
174,0.0031721678
175,0.0029317504
176,0.0031660968
177,0.003139667
178,0.003511744
179,0.0027186817
180,0.0029243908
181,0.0028499926
182,0.0028398011
183,0.002933398
184,0.0027344346
185,0.0025137807
186,0.0025995837
187,0.0029619741
188,0.0023762484
189,0.0023247874
190,0.0022997872
191,0.0024695373
192,0.0027006508
193,0.0025613545
194,0.0022164865
195,0.0020333703
196,0.002043297
197,0.0026222542
198,0.0024009114
199,0.0022403698
200,0.0021184306
201,0.0024107455
202,0.0020426337
203,0.0021345564
204,0.002091409
205,0.0022318375
206,0.0022314596
207,0.0018983526
208,0.0016456702
209,0.0018824161
210,0.0022416988
211,0.0020361457
212,0.0020734621
213,0.0020496014
214,0.0020553244
215,0.0018357278
216,0.0019871928
217,0.0020062595
218,0.0021907971
219,0.0018841195
220,0.0020461164
221,0.0017134311
222,0.0022788637
223,0.0017961634
224,0.0015682278
225,0.0018964675
226,0.001465824
227,0.0017988494
228,0.0016826056
229,0.0022432709
230,0.001751766
231,0.0018009865
232,0.0015325268
233,0.0018523063
234,0.001515719
235,0.0015480779
236,0.002001553
237,0.0015250131
238,0.0013621441
239,0.0017628317
240,0.0016100606
241,0.0017334366
242,0.0014538827
243,0.0016359582
244,0.0016226285
245,0.0016538384
246,0.0014779781
247,0.0013876272
248,0.0014731294
249,0.0018457421
250,0.0014114336
251,0.0017949139
252,0.0016356223
253,0.0015559042
254,0.0016533684
255,0.0016564439
256,0.00208616
257,0.0013590943
258,0.0019269214
259,0.0014056992
260,0.0014291427
261,0.0015149865
262,0.0016581679
263,0.0015041218
264,0.0014828366
265,0.0013941621
266,0.0017240392
267,0.001470364
268,0.0014378781
269,0.0016414203
270,0.0017611199
271,0.0015487766
272,0.0018344388
273,0.0016624659
274,0.001249387
275,0.0016552078
276,0.0015247551
277,0.0015555957
278,0.0012113691
279,0.001469835
280,0.0015682402
281,0.0013498917
282,0.0016699012
283,0.0013150235
284,0.0015231012
285,0.0012709536
286,0.0014240103
287,0.0015984908
288,0.0016740195
289,0.0017489722
290,0.0016251266
291,0.0016635841
292,0.0016306811
293,0.0017600892
294,0.0014817384
295,0.0015099072
296,0.001518178
297,0.0013123493
298,0.0016764993
299,0.0015358555
300,0.0016381734
