,valid_accuracy
1,50.93
2,59.65
3,60.32
4,65.43
5,66.16
6,66.27
7,69.04
8,69.36
9,69.63
10,69.58
11,72.73
12,71.09
13,70.64
14,71.97
15,73.53
16,73.64
17,72.7
18,74.14
19,73.71
20,73.71
21,73.13
22,75.32
23,74.12
24,74.79
25,75.05
26,76.03
27,74.13
28,74.84
29,75.2
30,76.3
31,75.8
32,76.0
33,75.33
34,74.99
35,76.68
36,75.42
37,76.88
38,76.44
39,76.96
40,75.78
41,76.2
42,75.32
43,77.11
44,76.82
45,76.53
46,76.65
47,77.16
48,77.16
49,77.55
50,77.55
51,77.07
52,76.97
53,77.34
54,76.96
55,77.89
56,76.98
57,75.67
58,77.45
59,77.55
60,76.99
61,79.13
62,79.01
63,79.59
64,79.36
65,79.48
66,79.53
67,80.05
68,79.72
69,79.7
70,80.08
71,79.56
72,79.73
73,79.96
74,79.64
75,80.01
76,79.91
77,80.3
78,80.06
79,80.12
80,80.23
81,80.1
82,80.03
83,79.96
84,80.03
85,79.83
86,80.18
87,80.48
88,80.12
89,79.9
90,80.35
91,79.75
92,80.36
93,79.95
94,79.9
95,80.46
96,80.14
97,80.36
98,79.76
99,80.1
100,80.03
101,80.2
102,80.13
103,79.97
104,80.47
105,80.68
106,80.71
107,80.55
108,80.48
109,80.11
110,80.51
111,80.27
112,80.25
113,80.17
114,80.21
115,80.6
116,80.42
117,80.15
118,80.57
119,80.04
120,80.2
121,80.54
122,80.9
123,80.72
124,80.55
125,80.47
126,80.87
127,80.59
128,80.06
129,80.77
130,81.0
131,80.89
132,80.47
133,80.25
134,80.6
135,80.95
136,80.51
137,80.06
138,80.39
139,80.24
140,80.76
141,80.43
142,80.85
143,80.26
144,80.5
145,80.57
146,80.82
147,80.77
148,80.46
149,80.9
150,80.23
