,valid_accuracy
1,32.16
2,40.11
3,41.19
4,51.64
5,50.76
6,53.87
7,54.7
8,57.39
9,48.88
10,58.66
11,64.65
12,61.8
13,64.76
14,63.5
15,65.02
16,68.7
17,70.4
18,65.25
19,69.93
20,70.41
21,70.77
22,73.54
23,72.46
24,73.23
25,65.66
26,74.6
27,75.36
28,75.64
29,75.79
30,72.99
31,76.32
32,75.15
33,75.85
34,74.85
35,75.03
36,75.36
37,73.69
38,75.86
39,76.67
40,75.84
41,75.96
42,72.66
43,77.59
44,76.3
45,78.33
46,76.5
47,77.96
48,75.71
49,74.09
50,78.2
51,78.14
52,78.0
53,77.49
54,75.93
55,78.79
56,79.19
57,78.22
58,78.55
59,78.85
60,79.03
61,80.78
62,80.48
63,80.62
64,81.05
65,81.28
66,80.87
67,80.51
68,81.03
69,80.76
70,80.59
71,81.1
72,80.66
73,80.99
74,80.9
75,80.81
76,80.97
77,81.13
78,81.16
79,80.82
80,81.25
81,81.21
82,80.86
83,80.79
84,81.2
85,81.52
86,81.16
87,81.27
88,81.25
89,81.58
90,81.2
91,80.82
92,81.04
93,81.15
94,80.95
95,81.32
96,80.71
97,81.15
98,80.78
99,80.96
100,81.51
101,81.6
102,81.05
103,81.19
104,81.18
105,81.6
106,81.01
107,81.07
108,81.18
109,81.28
110,81.37
111,81.36
112,81.15
113,81.75
114,81.27
115,81.73
116,81.72
117,81.3
118,81.58
119,81.37
120,81.4
121,81.56
122,81.08
123,81.58
124,81.55
125,81.7
126,81.61
127,81.2
128,81.23
129,81.22
130,81.67
131,81.5
132,82.14
133,81.39
134,82.01
135,81.68
136,81.18
137,81.72
138,81.54
139,81.97
140,81.51
141,81.98
142,81.89
143,81.4
144,81.5
145,81.6
146,81.72
147,81.97
148,81.88
149,81.56
150,81.06
