,valid_accuracy
1,43.75
2,56.79
3,61.38
4,64.25
5,68.24
6,68.55
7,71.35
8,71.74
9,71.77
10,71.41
11,72.18
12,74.69
13,75.54
14,75.11
15,73.67
16,76.08
17,75.52
18,75.45
19,76.74
20,76.6
21,76.59
22,77.32
23,77.24
24,76.55
25,77.2
26,77.62
27,77.5
28,77.74
29,77.47
30,77.34
31,77.55
32,77.15
33,78.1
34,77.56
35,78.43
36,78.9
37,78.96
38,78.76
39,78.09
40,79.06
41,79.15
42,78.67
43,78.28
44,79.46
45,79.07
46,80.08
47,78.97
48,79.7
49,78.91
50,79.47
51,79.85
52,78.96
53,78.44
54,79.0
55,79.46
56,80.21
57,79.52
58,79.47
59,79.12
60,79.69
61,81.28
62,81.38
63,81.41
64,81.25
65,82.09
66,81.7
67,81.8
68,81.13
69,81.59
70,81.44
71,81.89
72,81.48
73,81.34
74,81.59
75,82.27
76,82.04
77,81.52
78,82.01
79,82.02
80,82.13
81,81.81
82,81.98
83,81.49
84,81.77
85,82.06
86,81.7
87,81.83
88,82.22
89,82.08
90,82.01
91,82.0
92,82.11
93,82.39
94,82.3
95,82.0
96,82.38
97,82.01
98,82.5
99,82.12
100,82.0
101,82.2
102,81.75
103,81.96
104,81.67
105,82.16
106,82.11
107,82.1
108,81.86
109,82.21
110,82.09
111,82.39
112,82.31
113,82.25
114,81.81
115,82.23
116,82.24
117,82.29
118,81.81
119,82.12
120,82.13
121,82.39
122,82.51
123,82.45
124,81.88
125,82.55
126,82.26
127,82.51
128,82.98
129,82.18
130,82.02
131,82.22
132,82.43
133,82.27
134,82.45
135,82.23
136,82.22
137,82.36
138,82.47
139,82.71
140,82.06
141,82.04
142,82.12
143,82.6
144,82.17
145,82.48
146,82.15
147,82.43
148,82.3
149,82.37
150,82.62
