,valid_accuracy
1,47.53
2,55.04
3,61.51
4,65.04
5,67.64
6,68.74
7,68.8
8,71.37
9,71.49
10,72.55
11,73.72
12,73.63
13,73.58
14,73.77
15,74.75
16,74.15
17,75.6
18,75.88
19,76.22
20,75.77
21,76.7
22,76.62
23,76.69
24,76.8
25,77.21
26,77.22
27,76.71
28,77.49
29,77.15
30,78.1
31,77.7
32,78.02
33,77.98
34,78.13
35,78.83
36,77.67
37,76.61
38,77.85
39,77.56
40,78.47
41,78.08
42,78.38
43,78.34
44,78.3
45,78.19
46,77.85
47,78.87
48,78.64
49,77.79
50,78.43
51,79.08
52,78.36
53,77.75
54,78.97
55,78.88
56,79.58
57,78.24
58,78.85
59,78.93
60,78.82
61,81.17
62,80.89
63,80.88
64,81.29
65,81.61
66,81.33
67,81.05
68,81.17
69,81.74
70,82.02
71,81.81
72,81.52
73,81.93
74,81.76
75,81.79
76,81.59
77,81.67
78,81.77
79,81.84
80,81.71
81,81.64
82,82.23
83,82.26
84,81.56
85,81.75
86,81.93
87,81.18
88,82.22
89,81.65
90,82.29
91,82.1
92,82.16
93,81.93
94,81.7
95,81.96
96,81.63
97,82.15
98,82.07
99,81.91
100,81.86
101,82.02
102,81.89
103,81.67
104,81.72
105,81.79
106,82.14
107,81.48
108,81.76
109,81.91
110,81.84
111,81.64
112,82.22
113,81.94
114,81.72
115,81.51
116,82.12
117,82.27
118,81.72
119,82.04
120,82.15
121,82.16
122,82.38
123,81.72
124,81.72
125,82.04
126,82.24
127,82.07
128,82.04
129,81.82
130,82.1
131,82.17
132,82.52
133,82.18
134,82.16
135,82.23
136,82.51
137,82.35
138,81.99
139,82.09
140,82.54
141,82.09
142,82.47
143,82.06
144,82.0
145,82.35
146,81.93
147,82.66
148,82.34
149,82.14
150,82.22
