,valid_accuracy
1,59.64
2,67.18
3,69.31
4,69.78
5,72.46
6,74.59
7,75.23
8,74.1
9,76.51
10,75.9
11,76.47
12,76.32
13,75.61
14,77.74
15,78.8
16,78.17
17,77.77
18,78.74
19,79.23
20,78.09
21,77.83
22,79.59
23,77.93
24,79.3
25,79.16
26,79.99
27,79.15
28,79.59
29,80.22
30,80.89
31,80.16
32,80.23
33,80.13
34,81.5
35,80.62
36,79.86
37,79.68
38,80.5
39,80.33
40,80.87
41,80.54
42,80.85
43,80.87
44,81.52
45,81.14
46,80.77
47,80.59
48,80.5
49,80.54
50,81.56
51,81.34
52,81.14
53,80.29
54,81.31
55,81.32
56,81.47
57,81.86
58,81.37
59,81.31
60,80.71
61,82.47
62,82.98
63,82.77
64,83.16
65,82.7
66,82.94
67,83.28
68,82.85
69,83.18
70,82.92
71,83.35
72,82.96
73,82.93
74,83.05
75,83.18
76,83.16
77,82.99
78,82.85
79,83.16
80,82.67
81,83.14
82,83.59
83,82.78
84,82.83
85,83.04
86,82.73
87,83.18
88,83.32
89,82.61
90,83.36
91,82.74
92,82.88
93,83.04
94,83.11
95,83.3
96,82.8
97,83.42
98,83.3
99,82.89
100,83.21
101,82.89
102,83.55
103,83.45
104,83.64
105,82.99
106,82.91
107,82.91
108,83.25
109,83.31
110,83.08
111,83.69
112,83.02
113,83.27
114,83.23
115,82.43
116,82.99
117,83.07
118,83.27
119,83.03
120,83.96
121,83.54
122,83.14
123,83.24
124,83.49
125,83.82
126,83.46
127,83.47
128,83.43
129,82.76
130,82.84
131,83.5
132,83.15
133,83.67
134,83.56
135,83.37
136,83.94
137,83.25
138,83.49
139,83.35
140,83.27
141,82.96
142,83.59
143,83.54
144,83.03
145,83.26
146,83.34
147,82.88
148,83.45
149,83.27
150,83.55
