,valid_accuracy
1,50.38
2,53.88
3,45.54
4,61.98
5,56.05
6,67.71
7,57.54
8,71.19
9,69.09
10,74.3
11,72.85
12,72.04
13,68.25
14,73.39
15,74.25
16,75.04
17,77.24
18,70.12
19,74.88
20,75.65
21,74.92
22,75.78
23,77.36
24,78.21
25,77.32
26,76.51
27,75.99
28,74.4
29,75.06
30,76.27
31,76.12
32,76.32
33,72.61
34,77.71
35,78.16
36,77.99
37,79.9
38,79.96
39,77.58
40,79.38
41,79.13
42,80.12
43,78.05
44,79.87
45,77.36
46,79.87
47,75.27
48,78.77
49,78.4
50,78.62
51,79.04
52,76.74
53,78.89
54,79.66
55,80.06
56,79.88
57,77.46
58,78.84
59,80.12
60,79.86
61,81.97
62,82.58
63,82.29
64,82.73
65,82.19
66,82.4
67,82.58
68,83.12
69,82.26
70,82.75
71,82.4
72,82.88
73,82.64
74,82.76
75,83.07
76,82.26
77,82.23
78,82.54
79,82.38
80,82.85
81,82.48
82,82.48
83,82.35
84,82.34
85,82.43
86,82.19
87,83.07
88,82.76
89,83.18
90,82.39
91,82.79
92,82.48
93,82.73
94,82.7
95,82.43
96,82.7
97,82.76
98,82.67
99,82.99
100,82.34
101,83.0
102,82.85
103,82.82
104,82.89
105,82.91
106,83.04
107,82.85
108,82.73
109,82.83
110,82.88
111,82.77
112,82.63
113,82.85
114,82.8
115,83.1
116,82.49
117,82.77
118,82.8
119,82.81
120,82.91
121,82.62
122,83.06
123,82.71
124,82.62
125,82.78
126,83.15
127,82.72
128,82.66
129,82.84
130,83.62
131,83.06
132,83.07
133,82.96
134,82.82
135,83.13
136,83.04
137,82.72
138,82.95
139,83.11
140,82.77
141,82.8
142,83.07
143,82.8
144,82.54
145,82.89
146,83.19
147,82.82
148,82.87
149,83.19
150,83.17
