,valid_accuracy
1,45.59
2,56.86
3,57.24
4,60.5
5,63.16
6,61.62
7,65.31
8,67.77
9,68.03
10,68.69
11,67.11
12,69.36
13,69.62
14,67.16
15,68.65
16,61.81
17,71.51
18,69.51
19,69.09
20,69.47
21,70.13
22,70.11
23,71.04
24,70.76
25,73.4
26,71.95
27,72.62
28,74.37
29,72.68
30,73.35
31,72.78
32,73.26
33,73.82
34,72.79
35,74.98
36,73.61
37,72.04
38,73.36
39,73.85
40,71.6
41,72.61
42,74.79
43,74.13
44,74.24
45,76.67
46,73.74
47,75.94
48,72.11
49,69.77
50,73.95
51,74.8
52,76.77
53,76.71
54,75.44
55,75.11
56,75.26
57,74.39
58,75.18
59,74.7
60,74.89
61,79.38
62,79.76
63,79.82
64,80.16
65,79.81
66,80.31
67,79.84
68,80.29
69,80.38
70,79.98
71,80.35
72,80.23
73,80.11
74,80.85
75,80.02
76,80.16
77,80.15
78,80.69
79,79.73
80,80.06
81,80.61
82,80.92
83,79.83
84,80.78
85,80.13
86,80.63
87,80.82
88,80.93
89,80.98
90,80.65
91,79.93
92,81.1
93,80.55
94,81.12
95,80.29
96,80.96
97,80.78
98,80.34
99,80.81
100,81.22
101,80.71
102,80.85
103,80.58
104,80.81
105,81.15
106,80.92
107,80.79
108,81.3
109,81.0
110,80.6
111,81.5
112,80.65
113,81.25
114,80.75
115,80.84
116,81.0
117,81.3
118,80.73
119,80.6
120,81.54
121,81.25
122,80.69
123,81.25
124,81.05
125,81.15
126,81.12
127,80.87
128,80.96
129,81.21
130,80.7
131,81.37
132,80.75
133,81.41
134,81.52
135,81.65
136,81.51
137,81.18
138,81.18
139,81.05
140,81.23
141,81.51
142,81.48
143,81.53
144,81.07
145,81.5
146,81.55
147,81.47
148,81.36
149,81.26
150,81.31
