,valid_accuracy
1,57.41
2,64.54
3,67.61
4,70.51
5,71.98
6,68.08
7,73.87
8,75.56
9,76.23
10,74.93
11,75.8
12,76.12
13,77.28
14,76.89
15,77.84
16,78.18
17,78.04
18,78.47
19,79.3
20,79.12
21,79.3
22,79.24
23,78.96
24,79.01
25,79.46
26,79.32
27,79.77
28,79.3
29,79.49
30,80.05
31,79.94
32,80.18
33,80.0
34,79.92
35,80.24
36,80.54
37,80.5
38,80.33
39,81.4
40,80.05
41,79.9
42,80.7
43,81.45
44,81.14
45,80.98
46,80.55
47,80.96
48,80.73
49,81.44
50,80.77
51,81.63
52,80.63
53,80.93
54,81.38
55,81.06
56,80.51
57,81.57
58,80.68
59,81.27
60,81.29
61,82.59
62,83.0
63,82.79
64,82.83
65,82.74
66,82.41
67,83.22
68,82.48
69,82.96
70,82.62
71,82.75
72,83.04
73,82.64
74,82.95
75,82.89
76,82.65
77,83.32
78,83.67
79,83.25
80,82.98
81,83.33
82,82.91
83,83.26
84,82.72
85,83.56
86,83.04
87,82.84
88,83.14
89,82.59
90,82.46
91,83.15
92,83.54
93,83.4
94,83.32
95,82.89
96,83.22
97,82.87
98,83.06
99,82.86
100,83.24
101,82.97
102,82.98
103,83.11
104,83.21
105,82.8
106,83.05
107,83.29
108,83.2
109,83.02
110,83.13
111,83.1
112,83.04
113,83.31
114,82.91
115,83.15
116,83.26
117,83.0
118,83.2
119,83.01
120,82.95
121,83.52
122,83.36
123,83.55
124,83.31
125,83.54
126,83.34
127,83.4
128,83.26
129,83.28
130,83.32
131,83.4
132,83.19
133,83.41
134,83.06
135,83.09
136,83.21
137,83.22
138,83.07
139,83.37
140,83.3
141,83.51
142,83.16
143,83.36
144,82.99
145,83.23
146,83.23
147,83.18
148,83.09
149,83.74
150,82.78
