,valid_accuracy
1,45.84
2,47.0
3,47.7
4,46.98
5,47.8
6,47.8
7,47.95
8,48.44
9,46.82
10,48.01
11,48.01
12,47.08
13,47.97
14,47.77
15,44.59
16,44.55
17,47.81
18,48.25
19,47.15
20,48.06
21,48.16
22,47.42
23,48.22
24,48.04
25,48.4
26,48.04
27,47.78
28,46.83
29,48.1
30,47.56
31,47.61
32,48.29
33,48.39
34,47.84
35,48.0
36,47.64
37,48.36
38,48.02
39,48.16
40,48.28
41,47.72
42,47.82
43,47.44
44,48.52
45,47.42
46,47.47
47,47.7
48,44.59
49,48.32
50,47.9
51,48.21
52,48.38
53,46.65
54,47.77
55,48.05
56,47.52
57,48.27
58,48.26
59,48.3
60,47.65
61,47.6
62,47.73
63,48.02
64,47.97
65,48.13
66,48.26
67,48.3
68,48.46
69,48.41
70,48.44
71,48.51
72,48.61
73,48.67
74,48.71
75,48.63
76,48.7
77,48.71
78,48.73
79,48.63
80,48.76
81,48.81
82,48.87
83,48.86
84,48.83
85,48.75
86,48.76
87,48.67
88,48.69
89,48.84
90,48.76
91,48.7
92,48.7
93,48.93
94,48.87
95,48.76
96,48.79
97,48.71
98,48.6
99,48.78
100,48.71
