,valid_accuracy
1,58.09
2,64.31
3,65.62
4,66.13
5,66.34
6,66.43
7,66.63
8,66.68
9,66.9
10,67.12
11,67.17
12,67.04
13,67.21
14,67.33
15,67.41
16,67.3
17,67.53
18,67.36
19,67.6
20,67.6
21,67.68
22,67.48
23,67.37
24,67.67
25,67.62
26,67.68
27,67.75
28,67.74
29,67.62
30,67.82
31,67.77
32,67.56
33,67.7
34,67.62
35,67.7
36,67.94
37,67.66
38,67.79
39,67.78
40,67.91
41,67.71
42,67.73
43,67.99
44,67.98
45,67.95
46,67.99
47,67.98
48,67.96
49,67.82
50,67.82
51,67.98
52,68.02
53,68.0
54,67.95
55,67.98
56,67.97
57,68.06
58,68.19
59,67.97
60,67.97
61,67.96
62,68.02
63,68.06
64,68.08
65,68.09
66,68.07
67,68.07
68,68.17
69,68.06
70,68.07
71,68.1
72,68.13
73,68.12
74,68.15
75,68.08
76,68.15
77,68.11
78,68.12
79,68.08
80,68.11
81,68.12
82,68.06
83,68.09
84,68.08
85,68.23
86,68.17
87,68.18
88,68.18
89,68.17
90,68.14
91,68.13
92,68.18
93,68.21
94,68.16
95,68.07
96,68.18
97,68.24
98,68.27
99,68.21
100,68.21
