,valid_accuracy
1,11.35
2,19.34
3,28.86
4,31.5
5,40.91
6,45.97
7,50.21
8,56.95
9,61.36
10,63.94
11,68.66
12,71.06
13,73.89
14,75.86
15,76.96
16,78.34
17,79.21
18,79.81
19,80.61
20,81.38
21,81.84
22,82.22
23,82.35
24,82.4
25,82.72
26,82.81
27,82.93
28,83.12
29,83.29
30,83.44
31,83.66
32,83.71
33,83.91
34,83.96
35,84.12
36,84.24
37,84.44
38,84.61
39,84.46
40,84.64
41,84.85
42,84.87
43,85.06
44,85.15
45,85.13
46,85.26
47,85.18
48,85.34
49,85.31
50,85.48
51,85.45
52,85.51
53,85.58
54,85.6
55,85.6
56,85.75
57,85.71
58,85.69
59,85.74
60,85.89
61,85.86
62,85.87
63,85.87
64,85.83
65,85.86
66,85.81
67,85.8
68,85.81
69,85.9
70,85.87
71,85.92
72,85.93
73,85.84
74,85.87
75,85.94
76,85.94
77,85.95
78,85.9
79,85.93
80,85.93
81,85.95
82,85.91
83,85.9
84,85.91
85,85.88
86,85.93
87,85.93
88,85.92
89,85.93
90,85.95
91,85.97
92,85.95
93,86.0
94,85.94
95,85.94
96,85.98
97,86.01
98,86.03
99,85.96
100,85.95
