,valid_accuracy
1,90.54
2,91.56
3,92.35
4,92.66
5,93.01
6,92.28
7,93.48
8,93.93
9,94.06
10,94.0
11,93.31
12,94.19
13,93.83
14,94.34
15,94.5
16,94.51
17,94.06
18,94.95
19,94.86
20,94.97
21,94.96
22,95.22
23,95.18
24,94.84
25,95.14
26,95.19
27,95.07
28,94.83
29,95.12
30,95.3
31,94.79
32,95.24
33,95.28
34,95.5
35,95.62
36,95.21
37,95.04
38,95.1
39,95.14
40,95.05
41,95.32
42,95.37
43,95.03
44,94.89
45,95.59
46,95.23
47,95.28
48,95.31
49,95.43
50,95.41
51,95.49
52,95.3
53,95.06
54,95.62
55,95.34
56,95.54
57,95.66
58,95.53
59,95.43
60,95.41
61,95.81
62,95.88
63,95.82
64,95.79
65,95.83
66,95.91
67,95.82
68,95.9
69,95.98
70,95.88
71,95.92
72,95.98
73,95.93
74,95.9
75,95.83
76,95.94
77,95.98
78,95.86
79,95.9
80,95.85
81,95.98
82,95.96
83,95.92
84,95.88
85,95.96
86,95.89
87,95.95
88,95.92
89,95.88
90,95.85
91,95.93
92,95.83
93,95.84
94,95.94
95,96.09
96,96.01
97,95.91
98,95.9
99,95.8
100,95.92
