,valid_accuracy
1,86.34
2,89.93
3,91.4
4,92.16
5,92.86
6,93.4
7,93.56
8,94.24
9,94.4
10,94.36
11,94.63
12,94.87
13,94.96
14,95.01
15,95.11
16,95.19
17,95.27
18,95.22
19,95.62
20,95.73
21,95.59
22,95.67
23,95.76
24,95.74
25,96.0
26,95.82
27,95.91
28,95.62
29,95.75
30,96.0
31,96.02
32,96.18
33,95.82
34,96.18
35,96.18
36,95.91
37,96.08
38,96.27
39,96.19
40,96.11
41,95.96
42,96.1
43,96.2
44,96.33
45,96.3
46,96.17
47,96.1
48,96.25
49,96.41
50,96.27
51,96.32
52,96.41
53,96.27
54,96.36
55,96.39
56,96.34
57,96.53
58,96.3
59,96.4
60,96.46
61,96.56
62,96.59
63,96.58
64,96.55
65,96.66
66,96.6
67,96.59
68,96.56
69,96.7
70,96.65
71,96.59
72,96.58
73,96.66
74,96.64
75,96.66
76,96.53
77,96.62
78,96.65
79,96.68
80,96.69
81,96.67
82,96.7
83,96.67
84,96.73
85,96.7
86,96.62
87,96.68
88,96.6
89,96.67
90,96.7
91,96.63
92,96.68
93,96.7
94,96.69
95,96.69
96,96.59
97,96.62
98,96.69
99,96.68
100,96.62
