,valid_accuracy
1,88.57
2,91.52
3,92.96
4,93.03
5,93.94
6,94.04
7,94.12
8,94.36
9,94.64
10,94.86
11,94.67
12,95.01
13,95.03
14,95.33
15,95.22
16,95.19
17,95.56
18,95.36
19,95.77
20,95.53
21,95.62
22,95.81
23,95.72
24,95.81
25,95.87
26,96.02
27,95.89
28,96.03
29,95.97
30,95.88
31,95.97
32,96.09
33,96.12
34,96.07
35,95.97
36,96.07
37,96.21
38,96.22
39,95.89
40,96.07
41,96.33
42,96.03
43,96.21
44,96.08
45,96.22
46,96.27
47,96.43
48,96.27
49,96.3
50,96.21
51,96.37
52,96.43
53,96.27
54,96.33
55,96.5
56,96.23
57,96.38
58,96.38
59,96.4
60,96.38
61,96.46
62,96.46
63,96.54
64,96.5
65,96.52
66,96.54
67,96.51
68,96.49
69,96.5
70,96.44
71,96.53
72,96.63
73,96.56
74,96.55
75,96.61
76,96.51
77,96.57
78,96.64
79,96.61
80,96.6
81,96.53
82,96.5
83,96.58
84,96.57
85,96.64
86,96.62
87,96.59
88,96.63
89,96.6
90,96.56
91,96.52
92,96.57
93,96.6
94,96.71
95,96.66
96,96.62
97,96.55
98,96.49
99,96.58
100,96.63
