,valid_accuracy
1,70.52
2,86.47
3,89.72
4,90.93
5,91.61
6,92.21
7,92.65
8,92.85
9,93.37
10,93.41
11,93.82
12,93.89
13,94.1
14,94.34
15,94.34
16,94.09
17,94.61
18,94.58
19,94.57
20,94.8
21,95.02
22,95.07
23,94.97
24,94.98
25,95.23
26,95.31
27,95.21
28,95.34
29,95.45
30,95.39
31,95.49
32,95.37
33,95.26
34,95.51
35,95.45
36,95.42
37,95.65
38,95.65
39,95.62
40,95.8
41,95.75
42,95.69
43,95.65
44,95.87
45,95.82
46,95.72
47,95.72
48,95.78
49,95.77
50,95.9
51,95.86
52,95.8
53,95.87
54,95.98
55,95.87
56,96.07
57,95.92
58,95.94
59,96.02
60,96.03
61,96.04
62,96.14
63,96.13
64,96.08
65,96.18
66,96.16
67,96.13
68,96.2
69,96.23
70,96.17
71,96.13
72,96.16
73,96.19
74,96.2
75,96.18
76,96.18
77,96.21
78,96.17
79,96.23
80,96.13
81,96.21
82,96.18
83,96.23
84,96.21
85,96.25
86,96.16
87,96.29
88,96.15
89,96.16
90,96.21
91,96.22
92,96.19
93,96.23
94,96.16
95,96.23
96,96.21
97,96.23
98,96.27
99,96.25
100,96.19
