,valid_accuracy
1,90.35
2,92.57
3,93.25
4,93.28
5,93.82
6,93.67
7,94.11
8,94.13
9,94.35
10,94.76
11,94.3
12,94.71
13,94.69
14,94.74
15,94.92
16,94.62
17,95.0
18,95.08
19,95.27
20,95.4
21,95.23
22,95.48
23,95.45
24,94.89
25,94.96
26,95.42
27,95.78
28,95.53
29,95.5
30,95.5
31,95.78
32,95.7
33,95.79
34,95.74
35,95.67
36,95.81
37,95.73
38,95.58
39,95.81
40,95.87
41,95.75
42,95.79
43,95.93
44,95.73
45,96.02
46,95.84
47,95.91
48,95.97
49,96.08
50,96.12
51,95.8
52,95.99
53,95.93
54,95.76
55,96.08
56,96.08
57,95.99
58,96.03
59,96.01
60,96.09
61,96.22
62,96.17
63,96.22
64,96.16
65,96.14
66,96.2
67,96.27
68,96.18
69,96.17
70,96.24
71,96.2
72,96.28
73,96.22
74,96.23
75,96.22
76,96.27
77,96.2
78,96.26
79,96.21
80,96.31
81,96.27
82,96.29
83,96.33
84,96.29
85,96.26
86,96.3
87,96.29
88,96.29
89,96.23
90,96.3
91,96.32
92,96.25
93,96.36
94,96.23
95,96.15
96,96.26
97,96.25
98,96.31
99,96.29
100,96.19
