,valid_accuracy
1,86.45
2,89.96
3,91.87
4,92.37
5,93.22
6,93.66
7,93.25
8,93.74
9,93.9
10,94.17
11,93.99
12,94.35
13,94.57
14,94.79
15,94.99
16,94.95
17,95.04
18,95.05
19,95.05
20,94.9
21,95.31
22,95.41
23,95.5
24,95.33
25,95.44
26,95.36
27,95.15
28,95.54
29,95.65
30,95.65
31,95.73
32,95.8
33,95.69
34,95.63
35,95.7
36,95.67
37,95.89
38,95.9
39,95.79
40,95.64
41,95.85
42,95.86
43,96.01
44,95.86
45,95.94
46,95.85
47,96.08
48,96.02
49,96.14
50,96.25
51,96.25
52,96.24
53,96.13
54,96.16
55,96.37
56,96.21
57,96.18
58,96.23
59,96.07
60,96.07
61,96.21
62,96.2
63,96.31
64,96.3
65,96.32
66,96.34
67,96.31
68,96.31
69,96.35
70,96.31
71,96.37
72,96.39
73,96.32
74,96.42
75,96.36
76,96.37
77,96.4
78,96.41
79,96.35
80,96.46
81,96.36
82,96.42
83,96.43
84,96.39
85,96.34
86,96.33
87,96.4
88,96.46
89,96.37
90,96.36
91,96.36
92,96.35
93,96.42
94,96.34
95,96.42
96,96.36
97,96.39
98,96.4
99,96.42
100,96.41
