,valid_accuracy
1,89.01
2,91.95
3,92.66
4,93.05
5,93.81
6,94.11
7,94.36
8,94.24
9,94.52
10,94.91
11,94.98
12,95.08
13,95.13
14,95.3
15,95.29
16,95.34
17,95.34
18,95.43
19,95.25
20,95.33
21,95.62
22,95.65
23,95.82
24,95.81
25,95.79
26,95.87
27,95.8
28,95.88
29,95.73
30,95.93
31,95.71
32,96.0
33,95.85
34,96.07
35,95.9
36,95.92
37,95.92
38,95.77
39,95.63
40,95.95
41,95.73
42,96.16
43,96.17
44,96.11
45,95.96
46,95.99
47,96.0
48,96.12
49,96.27
50,96.15
51,96.23
52,96.02
53,96.2
54,96.14
55,95.99
56,96.19
57,96.22
58,96.21
59,96.17
60,96.32
61,96.34
62,96.37
63,96.32
64,96.38
65,96.4
66,96.41
67,96.4
68,96.41
69,96.36
70,96.38
71,96.38
72,96.38
73,96.32
74,96.32
75,96.41
76,96.5
77,96.43
78,96.44
79,96.45
80,96.42
81,96.43
82,96.39
83,96.44
84,96.41
85,96.33
86,96.46
87,96.43
88,96.42
89,96.38
90,96.43
91,96.33
92,96.43
93,96.41
94,96.41
95,96.39
96,96.39
97,96.47
98,96.48
99,96.52
100,96.42
