,valid_accuracy
1,56.3
2,68.57
3,70.49
4,76.02
5,74.36
6,78.3
7,76.67
8,80.08
9,81.51
10,81.27
11,82.77
12,83.55
13,84.96
14,84.49
15,82.52
16,85.62
17,84.4
18,85.99
19,84.83
20,86.04
21,86.06
22,86.58
23,87.07
24,86.73
25,87.42
26,86.46
27,87.4
28,86.93
29,87.55
30,86.25
31,87.82
32,87.58
33,87.5
34,88.01
35,87.7
36,88.0
37,88.12
38,88.3
39,88.36
40,88.33
41,88.02
42,88.44
43,88.26
44,88.37
45,88.39
46,87.84
47,88.38
48,88.2
49,88.95
50,88.65
51,88.45
52,89.21
53,89.19
54,88.74
55,88.24
56,88.67
57,88.4
58,88.84
59,89.01
60,88.81
61,88.56
62,88.88
63,88.03
64,88.29
65,88.55
66,88.18
67,88.82
68,88.4
69,87.39
70,89.0
71,88.07
72,88.47
73,88.73
74,88.88
75,88.58
76,88.9
77,88.7
78,89.31
79,89.37
80,89.22
81,89.01
82,88.93
83,89.28
84,89.03
85,88.18
86,89.1
87,89.26
88,89.21
89,88.95
90,88.88
91,89.18
92,89.45
93,89.21
94,89.07
95,89.04
96,89.28
97,89.34
98,88.78
99,89.6
100,89.11
101,89.09
102,89.41
103,88.33
104,89.0
105,89.03
106,89.08
107,89.14
108,88.71
109,88.7
110,89.61
111,89.53
112,89.05
113,88.9
114,88.57
115,89.07
116,89.56
117,89.83
118,89.57
119,89.48
120,89.94
121,89.29
122,89.73
123,89.08
124,89.29
125,89.5
126,89.79
127,89.29
128,89.16
129,89.71
130,89.47
131,89.05
132,89.42
133,88.91
134,89.87
135,88.88
136,89.42
137,90.04
138,89.7
139,89.22
140,89.34
141,89.65
142,89.98
143,90.03
144,89.67
145,89.13
146,89.33
147,90.28
148,89.75
149,89.51
150,89.87
151,90.47
152,90.41
153,90.85
154,90.9
155,90.53
156,90.77
157,90.92
158,90.74
159,91.34
160,90.79
161,90.86
162,90.75
163,91.08
164,90.8
165,90.86
166,90.58
167,90.8
168,90.67
169,90.7
170,90.75
171,90.53
172,90.87
173,90.68
174,91.25
175,90.75
176,91.03
177,90.75
178,91.21
179,90.8
180,90.75
181,90.86
182,90.53
183,91.05
184,90.85
185,90.95
186,90.8
187,90.89
188,90.67
189,90.87
190,90.76
191,90.92
192,90.93
193,90.57
194,90.82
195,90.71
196,90.67
197,90.73
198,90.88
199,90.75
200,90.67
201,90.88
202,90.68
203,90.7
204,90.67
205,90.96
206,90.49
207,90.87
208,90.85
209,90.9
210,91.07
211,90.96
212,91.05
213,90.78
214,90.86
215,90.78
216,90.83
217,90.66
218,90.97
219,91.07
220,90.81
221,90.68
222,90.8
223,90.81
224,91.08
225,90.97
226,90.85
227,91.12
228,91.01
229,91.01
230,90.87
231,91.26
232,90.78
233,90.97
234,91.12
235,90.81
236,90.73
237,90.93
238,90.91
239,90.77
240,90.9
241,90.91
242,91.04
243,90.78
244,90.93
245,91.02
246,91.04
247,90.96
248,90.99
249,90.73
250,91.11
251,90.94
252,90.92
253,90.97
254,90.85
255,91.08
256,90.76
257,91.16
258,90.69
259,91.02
260,91.25
261,91.14
262,91.26
263,90.83
264,91.02
265,91.23
266,91.19
267,90.99
268,91.03
269,90.6
270,91.21
271,90.78
272,90.68
273,90.85
274,90.92
275,90.84
276,90.87
277,90.95
278,90.71
279,90.95
280,90.82
281,91.33
282,90.94
283,90.94
284,90.93
285,90.94
286,90.69
287,91.15
288,91.28
289,91.0
290,90.77
291,91.24
292,90.77
293,90.92
294,91.05
295,91.08
296,90.81
297,90.95
298,90.82
299,91.21
300,90.97
