,valid_accuracy
1,30.22
2,51.76
3,55.82
4,57.07
5,54.69
6,61.21
7,73.45
8,74.9
9,80.02
10,69.37
11,82.0
12,81.4
13,83.54
14,80.86
15,83.44
16,83.53
17,83.8
18,85.19
19,84.5
20,82.9
21,84.12
22,81.56
23,82.2
24,84.28
25,86.66
26,81.29
27,82.39
28,85.83
29,79.65
30,87.93
31,75.6
32,85.25
33,84.78
34,81.59
35,87.93
36,84.26
37,81.8
38,85.22
39,87.75
40,84.3
41,88.64
42,87.46
43,87.97
44,88.54
45,88.64
46,88.21
47,87.9
48,85.16
49,84.33
50,85.78
51,74.75
52,87.81
53,86.95
54,89.07
55,88.66
56,88.27
57,88.89
58,89.21
59,87.28
60,89.08
61,88.83
62,85.35
63,89.24
64,89.09
65,88.56
66,89.29
67,87.9
68,89.13
69,85.65
70,89.12
71,88.75
72,88.28
73,89.08
74,88.53
75,87.66
76,87.72
77,89.26
78,88.53
79,88.56
80,88.13
81,87.05
82,85.12
83,89.26
84,89.45
85,89.5
86,89.36
87,88.99
88,89.57
89,88.35
90,88.6
91,89.24
92,88.02
93,89.22
94,78.35
95,88.45
96,86.93
97,86.54
98,88.89
99,89.42
100,89.5
101,89.29
102,89.56
103,89.15
104,89.55
105,87.34
106,89.52
107,89.31
108,88.27
109,87.0
110,90.08
111,83.02
112,89.39
113,88.54
114,89.61
115,84.28
116,86.44
117,83.87
118,89.09
119,89.69
120,89.07
121,89.77
122,90.12
123,89.49
124,89.47
125,90.07
126,85.55
127,89.48
128,89.68
129,90.07
130,90.33
131,86.99
132,89.61
133,89.86
134,89.83
135,90.11
136,88.91
137,89.64
138,90.34
139,90.1
140,89.32
141,89.3
142,90.0
143,89.87
144,89.99
145,80.74
146,89.69
147,90.31
148,90.02
149,89.97
150,90.3
151,90.43
152,90.81
153,90.9
154,90.4
155,90.42
156,91.05
157,91.09
158,91.08
159,90.94
160,91.05
161,90.75
162,91.07
163,90.96
164,91.12
165,91.3
166,91.27
167,91.18
168,91.38
169,91.2
170,91.17
171,91.15
172,90.93
173,90.88
174,91.0
175,90.86
176,91.14
177,91.22
178,91.04
179,91.14
180,91.05
181,91.25
182,91.02
183,91.12
184,91.22
185,91.26
186,91.58
187,91.23
188,90.96
189,91.28
190,91.36
191,91.26
192,90.95
193,91.1
194,91.1
195,90.94
196,91.17
197,90.97
198,91.09
199,90.96
200,91.06
201,91.25
202,91.38
203,91.01
204,91.39
205,91.23
206,90.98
207,91.48
208,91.3
209,91.09
210,91.4
211,91.26
212,91.27
213,91.41
214,91.26
215,91.19
216,91.07
217,91.17
218,91.19
219,91.21
220,90.94
221,91.07
222,91.52
223,91.17
224,91.21
225,91.36
226,91.02
227,91.56
228,91.5
229,91.05
230,91.42
231,91.49
232,91.39
233,91.02
234,91.27
235,91.69
236,91.19
237,91.48
238,91.33
239,91.41
240,91.09
241,91.34
242,91.3
243,91.16
244,91.34
245,91.29
246,91.39
247,90.99
248,91.47
249,90.98
250,91.14
251,91.42
252,91.26
253,91.38
254,91.2
255,91.38
256,91.19
257,91.38
258,91.27
259,91.42
260,91.55
261,91.1
262,91.27
263,91.28
264,91.35
265,91.49
266,90.93
267,91.59
268,91.06
269,91.21
270,91.68
271,91.23
272,91.26
273,91.21
274,91.17
275,91.37
276,91.44
277,91.02
278,91.38
279,91.44
280,91.22
281,91.06
282,91.28
283,91.51
284,91.59
285,90.99
286,91.17
287,91.3
288,91.25
289,91.1
290,91.42
291,91.0
292,90.98
293,91.13
294,91.43
295,91.23
296,91.01
297,91.33
298,91.58
299,91.25
300,91.25
