,valid_accuracy
1,35.85
2,47.65
3,55.69
4,63.12
5,68.56
6,72.56
7,75.02
8,75.77
9,75.31
10,80.08
11,80.42
12,79.01
13,81.37
14,82.34
15,81.48
16,80.86
17,83.31
18,83.65
19,84.45
20,84.38
21,84.34
22,84.68
23,84.8
24,86.08
25,84.59
26,85.76
27,84.76
28,85.95
29,86.31
30,85.95
31,86.47
32,86.78
33,86.09
34,86.15
35,87.17
36,84.91
37,86.56
38,86.94
39,87.21
40,87.43
41,86.83
42,86.95
43,86.74
44,87.34
45,86.31
46,87.29
47,87.67
48,87.23
49,87.72
50,87.56
51,87.51
52,87.96
53,88.05
54,87.79
55,86.62
56,88.07
57,87.23
58,87.74
59,88.09
60,87.83
61,87.87
62,88.08
63,87.23
64,87.44
65,88.1
66,87.06
67,88.35
68,87.72
69,87.92
70,87.45
71,88.46
72,88.5
73,88.63
74,88.17
75,88.01
76,88.26
77,88.62
78,88.53
79,88.94
80,88.56
81,88.15
82,88.4
83,87.32
84,88.46
85,87.68
86,88.85
87,88.64
88,88.2
89,88.22
90,88.22
91,88.48
92,87.87
93,87.9
94,88.53
95,88.28
96,88.72
97,88.52
98,88.73
99,88.83
100,88.8
101,88.52
102,88.93
103,88.82
104,88.35
105,88.85
106,88.93
107,88.08
108,88.18
109,88.86
110,88.53
111,88.62
112,88.83
113,88.55
114,88.35
115,89.33
116,88.89
117,88.87
118,88.82
119,89.3
120,88.12
121,88.76
122,88.51
123,88.94
124,88.58
125,88.81
126,88.33
127,88.86
128,89.15
129,88.88
130,88.92
131,88.29
132,88.59
133,88.64
134,89.11
135,88.22
136,88.64
137,89.57
138,89.24
139,88.36
140,88.76
141,88.89
142,88.98
143,88.51
144,88.8
145,88.84
146,89.16
147,88.74
148,89.49
149,89.39
150,89.0
151,89.65
152,89.94
153,90.18
154,90.37
155,90.29
156,90.35
157,90.57
158,89.95
159,90.29
160,90.06
161,90.11
162,90.39
163,90.51
164,90.0
165,90.37
166,90.58
167,90.09
168,90.22
169,90.62
170,90.45
171,90.43
172,90.23
173,90.63
174,90.23
175,90.29
176,90.42
177,90.56
178,90.24
179,90.59
180,90.26
181,90.56
182,90.57
183,90.48
184,90.22
185,90.19
186,90.39
187,90.11
188,90.33
189,90.24
190,90.99
191,90.63
192,90.49
193,90.52
194,90.54
195,90.41
196,90.4
197,90.06
198,90.53
199,90.4
200,90.42
201,90.43
202,90.59
203,90.52
204,90.61
205,90.61
206,90.6
207,90.29
208,90.73
209,90.48
210,90.38
211,90.36
212,90.49
213,90.76
214,90.02
215,90.43
216,90.38
217,90.16
218,90.58
219,90.42
220,90.46
221,90.59
222,90.98
223,90.34
224,90.54
225,90.14
226,90.38
227,90.32
228,90.26
229,90.6
230,90.48
231,90.51
232,90.74
233,90.94
234,90.54
235,90.56
236,90.59
237,90.6
238,90.81
239,90.76
240,90.79
241,90.59
242,90.28
243,90.74
244,90.73
245,90.58
246,90.02
247,90.68
248,90.46
249,90.72
250,90.24
251,90.5
252,90.16
253,90.62
254,90.45
255,90.59
256,90.4
257,90.7
258,90.41
259,90.69
260,90.48
261,90.17
262,90.78
263,90.43
264,90.43
265,90.52
266,90.32
267,90.52
268,90.77
269,90.67
270,90.7
271,90.35
272,90.37
273,90.16
274,90.41
275,90.4
276,90.42
277,90.66
278,90.72
279,90.48
280,90.28
281,90.26
282,90.51
283,90.38
284,90.64
285,90.66
286,90.36
287,90.43
288,90.85
289,90.34
290,90.65
291,90.62
292,90.75
293,90.98
294,90.33
295,90.55
296,90.58
297,90.71
298,90.44
299,90.36
300,90.63
